Start,End,Weight
0,1034,31.676000000000002
0,1033,170.704
1,152,1765.6249999999998
1,160,90.258
2,2275,192.10500000000002
2,146,325.63700000000006
3,148,243.144
3,4068,593.726
4,3724,254.08999999999995
4,3725,254.08999999999995
5,3029,340.811
5,1162,184.38400000000001
6,3250,339.81899999999996
6,0,746.127
7,2050,4.499
7,2051,542.314
8,3182,42.43500000000001
8,2033,0.0
9,1802,353.17999999999995
9,25,320.24399999999997
10,2055,0.0
10,4002,0.0
11,18,363.43100000000004
11,3153,490.5450000000001
12,16,2573.8930000000005
12,2050,564.554
13,3680,875.9680000000001
13,2586,898.4090000000001
14,2970,64.515
14,102,318.742
15,2166,169.18
15,1033,263.11000000000007
16,12,1694.596
16,1491,1752.682
17,3409,470.06199999999995
17,4196,324.04200000000003
18,3153,127.114
18,4229,63.95400000000001
19,3722,0.0
19,3426,169.88600000000002
20,1023,201.75400000000002
20,2066,638.6320000000001
21,1664,90.84600000000002
21,3175,290.673
22,147,155.16299999999998
22,2175,165.171
23,166,142.471
23,2010,142.471
24,166,246.13899999999995
24,946,246.13899999999995
25,1802,32.936
25,1803,71.57600000000001
26,2954,331.293
26,39,332.708
27,4195,134.494
27,165,1098.046
28,187,0.0
28,4207,376.51099999999997
29,1663,0.0
29,1678,0.0
30,2728,0.0
31,3406,0.0
31,2177,82.131
32,1136,361.491
32,79,489.69100000000003
33,970,0.0
33,969,1288.5690000000002
34,3659,0.0
34,146,716.3100000000001
35,2175,0.0
35,2171,18.598
36,2174,569.777
36,39,359.57
37,3157,0.0
37,1354,0.0
38,2293,0.0
38,1682,0.0
39,26,521.243
39,36,248.18900000000002
40,2271,0.0
40,3689,19.882
41,2234,0.0
41,2236,1258.626
43,1891,0.0
43,3034,0.0
44,908,1679.978
44,907,1679.978
45,176,319.0
45,2230,227.34400000000002
46,4159,38.181000000000004
46,3726,38.181000000000004
47,2260,0.0
48,1436,0.0
48,1052,0.0
49,1151,0.0
49,177,330.063
50,960,74.108
50,181,141.156
51,123,232.781
51,3672,288.37
52,99,260.986
52,1742,91.75900000000001
53,1428,0.0
53,3144,492.843
54,3656,303.509
54,2552,520.485
55,2238,0.0
55,2786,90.15800000000002
56,1679,230.426
56,3656,247.00699999999995
57,2196,99.33300000000001
57,4220,99.33300000000001
58,2869,134.031
58,56,376.02500000000003
59,2547,0.0
59,190,250.25900000000001
60,3599,670.4540000000001
60,4210,1730.662
61,2771,0.0
61,4167,528.2690000000001
62,1738,115.631
62,1106,265.361
63,2869,373.65200000000004
63,183,305.55899999999997
64,2585,0.0
64,4105,615.908
65,3340,0.0
65,47,2412.264
66,2210,530.5029999999999
66,2211,495.648
67,2220,0.0
67,2219,164.632
68,127,131.542
68,956,178.653
69,2049,86.64099999999999
69,1667,257.904
70,3713,111.366
70,162,694.5729999999999
71,1827,348.935
71,100,213.71099999999998
72,4067,91.536
72,2441,292.787
73,180,56.016999999999996
73,74,302.054
74,73,302.054
74,180,358.07099999999997
75,4117,52.875
75,2584,127.65
76,3150,115.061
76,136,101.119
77,2173,0.0
77,2172,500.61
78,161,917.3930000000001
78,149,523.2429999999999
79,3467,117.414
79,149,311.902
80,4068,249.309
80,968,162.161
81,2176,146.001
81,2177,146.001
82,1047,41.747
82,2174,100.627
83,4155,0.0
83,3388,1144.766
84,3416,0.0
84,1367,0.0
85,97,54.262
85,2219,348.166
86,96,1490.201
86,4165,471.22400000000005
87,2216,32.422
87,2217,88.586
88,153,887.4350000000001
88,3726,0.0
89,1090,0.0
90,91,0.0
90,1132,338.221
91,90,0.0
91,2266,42.120000000000005
92,197,676.002
92,2207,454.76099999999997
93,1947,454.167
93,3325,696.53
94,2042,172.686
94,2485,123.148
95,4195,466.462
95,3264,408.20000000000005
96,86,382.587
97,1035,118.196
97,85,54.262
98,110,200.75400000000002
98,70,821.9909999999999
99,52,367.93699999999995
99,114,110.33
100,71,213.71099999999998
100,197,497.035
101,2165,778.5200000000002
101,1051,778.5200000000002
102,2970,308.5
102,14,318.742
103,3671,280.8299999999999
103,4058,1331.397
104,2787,221.683
104,113,221.683
105,2053,178.47699999999998
105,2054,56.83
106,141,518.245
106,111,427.576
107,1138,0.0
107,3417,0.0
108,3666,516.467
108,143,491.639
109,1061,842.2339999999999
109,142,132.882
110,2190,323.505
110,98,200.75400000000002
111,141,90.669
111,106,369.56
112,74,230.42800000000003
112,73,232.229
113,2787,0.0
113,2786,94.023
114,99,518.593
114,1428,625.456
115,1951,121.17199999999998
116,184,103.877
116,2189,191.75300000000001
117,423,186.853
117,1411,247.837
118,2267,0.0
118,2268,0.0
119,2279,190.519
119,1003,0.0
120,2214,350.296
120,2211,454.78499999999997
121,4105,442.831
121,64,1281.6250000000002
122,3782,0.0
122,2281,0.0
123,51,238.694
123,3167,352.55800000000005
124,2544,0.0
124,2264,0.0
125,2220,813.5559999999999
125,2219,672.76
126,2278,1972.734
126,3683,5645.918999999999
127,68,188.503
127,956,367.15600000000006
128,397,548.622
128,169,261.176
129,2273,195.817
129,2272,0.0
130,155,1112.601
130,3940,1189.826
131,2584,69.574
131,4117,144.349
132,2258,0.0
132,2259,0.0
133,2720,91.67699999999999
133,250,64.573
134,3249,0.0
134,3250,65.997
135,172,196.401
135,3426,311.58200000000005
136,3150,13.942
136,76,101.119
137,4196,120.976
137,105,276.55999999999995
138,4196,87.00400000000002
138,137,207.98000000000002
139,193,0.0
139,1483,173.29
140,2034,162.347
140,4149,102.91300000000001
141,106,278.89099999999996
141,111,90.669
142,1331,296.776
142,109,132.882
143,101,482.105
143,108,492.374
144,178,142.692
144,50,653.047
145,3147,342.272
145,77,228.861
146,34,716.31
146,3659,716.31
147,1882,20.624000000000002
147,164,319.121
148,3,569.835
148,39,439.42499999999995
149,3462,381.438
149,79,217.093
150,77,190.147
150,165,222.902
151,3340,4.074
151,44,1182.381
152,1,1907.913
152,3167,913.4350000000002
153,1652,0.0
154,2261,0.0
154,3133,0.0
155,2049,111.83599999999998
155,3940,249.629
156,2206,406.192
156,3152,406.192
157,1951,360.87800000000004
157,115,473.17600000000004
158,3707,199.375
158,2039,435.46400000000006
159,2166,64.015
159,2167,311.25700000000006
160,1573,145.88299999999998
160,405,143.72899999999998
161,78,940.0830000000001
161,149,1422.0680000000002
162,3713,502.51800000000003
163,2230,125.18700000000001
163,176,310.60400000000004
164,147,258.886
164,1882,237.03
165,150,240.664
165,4195,352.25
166,946,0.0
166,2010,0.0
167,4207,91.87
167,1151,172.038
168,4002,112.35599999999998
168,10,112.35599999999998
169,170,129.571
169,397,671.6129999999999
170,169,144.383
170,397,665.415
171,128,672.404
171,397,423.63599999999997
172,3426,115.181
172,3722,267.84299999999996
173,3633,954.219
173,2052,850.8870000000001
174,2282,0.0
174,2283,0.0
175,64,44.756
175,2585,44.756
176,2230,71.297
176,163,196.484
177,49,208.91899999999998
177,1151,208.91899999999998
178,144,142.692
178,2238,781.4910000000001
179,1106,342.63899999999995
179,4156,123.24600000000001
180,73,56.017
180,74,358.071
181,960,215.264
181,1148,426.09700000000004
182,967,823.596
182,1148,772.058
183,63,625.235
183,59,253.67600000000002
184,116,103.877
184,2189,295.63
185,384,292.999
185,2164,446.11199999999997
186,2442,113.006
186,4067,262.197
187,28,0.0
187,3729,2545.2420000000006
188,1139,237.59299999999996
188,4212,87.587
189,24,447.01
189,133,1178.874
190,1094,379.737
190,2547,325.46799999999996
191,2169,240.12699999999995
191,2168,240.12699999999995
192,14,711.9720000000001
192,2970,776.4870000000001
193,1483,173.29
193,275,310.784
194,4068,146.163
194,80,213.303
195,3494,76.40200000000002
195,3326,70.634
196,2209,471.11799999999994
196,2208,128.99
197,92,675.945
197,2207,1079.2920000000001
198,3218,1328.5000000000002
198,3219,1396.4610000000002
199,1661,501.61400000000003
199,200,342.162
200,199,207.28
200,1661,159.452
201,1362,370.6290000000001
201,545,429.737
202,1715,1314.6019999999999
202,1956,948.6330000000002
203,463,991.773
203,4201,1234.42
204,352,1192.1779999999999
204,1269,1408.202
205,909,546.4209999999999
205,4095,802.264
206,837,896.669
206,3657,983.2900000000001
207,2898,241.102
207,3160,112.282
208,2389,113.50999999999998
208,4071,188.66699999999997
209,2017,135.64399999999998
209,2018,178.23899999999998
210,2505,264.34000000000003
210,431,444.336
211,2496,0.0
211,2499,213.15300000000005
212,4052,131.46
212,1009,660.9540000000001
213,1866,287.63
213,4176,1399.63
214,772,0.0
214,3553,406.09600000000006
215,4100,1749.8769999999993
215,3355,305.376
216,4174,1849.7430000000002
216,1133,496.76699999999994
217,4228,1232.3329999999999
217,2694,1195.139
218,540,725.106
218,2925,622.2059999999999
