Start,End,Weight,Highway_Type,Weight_gk
0,1034,0.031676,primary,0.9979952742004248
0,1033,0.170704,primary,0.9433860348588011
0,6,0.8782339999999998,primary,0.21382659043696878
0,1426,0.631429,primary,0.45049641306649074
0,2038,0.631429,primary,0.45049641306649074
0,94,0.39590900000000007,primary,0.7308932428123431
0,15,0.481689,primary,0.6287330064539915
0,2046,0.7871070000000001,primary,0.2896520630514936
0,2044,0.56662,residential,0.5261776167573393
0,2042,0.56662,residential,0.5261776167573393
1,1665,0.021082,primary,0.9991114935078579
1,2016,0.11566899999999998,primary,0.9735962050964835
1,2266,0.39770799999999995,primary,0.7288092022574096
1,2755,0.29845900000000003,primary,0.8368122477534023
1,90,0.533537,primary,0.5659081683136843
1,91,0.5856520000000001,primary,0.503598210512926
1,160,7.626935999999998,primary,2.978840844543178e-51
1,4032,0.569432,primary,0.5228265024409968
1,3918,0.569432,primary,0.5228265024409968
1,4033,0.569432,primary,0.5228265024409968
2,1162,0.47349700000000006,unclassified,0.638649928136137
2,83,2.6186330000000004,primary,1.106313128017312e-06
2,3029,0.6299240000000002,unclassified,0.45221005142621906
2,5,0.559928,unclassified,0.5341712864203413
2,146,0.32563700000000007,unclassified,0.8089008634366849
2,2275,2.609632,primary,1.2154959795486346e-06
2,81,0.541753,unclassified,0.5559968634535835
2,4155,2.2469189999999992,primary,4.1191032415339265e-05
2,3388,1.9963909999999996,primary,0.00034528028524715007
2,2251,2.2778529999999995,primary,3.1133424310657554e-05
3,148,0.243144,residential,0.8884845597060222
3,2443,0.36557599999999996,residential,0.7654498157195015
3,2174,0.7353909999999998,primary,0.3390526595492425
3,36,0.30333499999999997,primary,0.8319156342451739
3,82,0.6347639999999999,primary,0.44670776337042367
3,1047,0.6765109999999999,primary,0.40038276927651056
3,194,0.481308,primary,0.6291945423869225
3,1048,0.7187099999999998,primary,0.35590617786048434
3,1046,0.7187099999999998,primary,0.35590617786048434
3,4068,0.593726,residential,0.49409813575356054
4,3725,0.2540899999999999,primary,0.8788654574580339
4,3724,0.2540899999999999,primary,0.8788654574580339
4,3326,0.253669,primary,0.8792412818451627
4,93,0.428448,primary,0.6927158606186976
4,195,0.324303,primary,0.8103047466682125
4,3353,0.483241,primary,0.6268526786975652
4,3917,0.483241,primary,0.6268526786975652
4,84,4.040988,primary,6.5509387672568854e-15
4,32,1.3430339999999996,primary,0.027120085851152137
4,3494,0.400705,primary,0.7253296817420997
5,3029,0.340811,primary,0.7927048859776911
5,1162,0.18438400000000002,primary,0.9342652206489548
5,194,0.27154900000000004,primary,0.8628816641443967
5,81,0.255675,residential,0.8774463972613301
5,4068,0.4177120000000001,primary,0.7054166697104701
5,2,0.559928,unclassified,0.5341712864203413
5,80,0.4848520000000001,primary,0.6249004488277753
5,146,0.43517600000000006,unclassified,0.6847124554246534
5,3773,0.297058,unclassified,0.838209750638799
5,31,0.402068,unclassified,0.7237441353667281
6,1429,0.204325,residential,0.9198934680423695
6,4022,0.24062600000000003,primary,0.8906517830756417
6,15,0.312313,primary,0.8227698048351831
6,159,0.320324,residential,0.8144722431177226
6,192,0.326425,primary,0.8080700236765761
6,2167,0.3788720000000001,primary,0.7504456981416152
6,2166,0.384339,residential,0.7442093243096041
6,0,0.746127,primary,0.3284367503924689
6,1034,0.714451,primary,0.36027758946991245
6,3250,0.339819,residential,0.7937760538848401
7,2050,0.0044989999999999995,unclassified,0.9999595188173852
7,2051,0.542314,primary,0.5553210026997669
7,3176,0.68847,primary,0.3875223006423118
7,1380,0.68847,primary,0.3875223006423118
7,12,1.312405,primary,0.03191070428195768
7,4103,0.7313169999999999,primary,0.34312889714678635
7,21,0.5084890000000001,primary,0.5962339673735909
7,3175,0.548789,primary,0.5475296119273532
7,3174,0.614745,primary,0.46962403493946425
8,8,0.0,unclassified,1.0
8,3182,0.04243500000000001,primary,0.9964050190230337
8,4149,0.12397299999999999,primary,0.9697290179441307
8,2034,0.183407,primary,0.9349368843900985
8,140,0.279616,primary,0.855242508224488
8,3174,0.5787100000000001,primary,0.5118055413174883
