Start,End,Weight,Highway_Type,Weight_gk
0,35,0.14769799999999997,residential,0.9573086718579549
0,5584,0.4221420000000001,residential,0.7001870703197061
0,5748,1.3230489999999997,secondary,0.03016969567702148
0,3245,1.5261809999999996,primary,0.009481081475554135
0,852,0.633299,primary,0.4483705594629171
0,3374,0.7624740000000001,primary,0.312630529895072
0,1375,1.1390300000000002,primary,0.07466239839364325
0,5728,1.2356580000000001,unclassified,0.04718395474967938
0,4341,1.2356580000000001,unclassified,0.04718395474967938
0,2258,1.0714650000000001,primary,0.10065318405738642
1,1579,0.7967369999999998,unclassified,0.28094968170797247
1,5722,0.7967369999999998,unclassified,0.28094968170797247
1,23,0.844992,residential,0.23978251352491878
1,22,1.609457,residential,0.005624047549859963
1,406,0.9185119999999999,unclassified,0.18501311060346534
1,4449,1.002139,unclassified,0.13418106622607617
1,36,1.01555,residential,0.12711239231858287
1,5104,1.5850459999999993,unclassified,0.006573284521543561
1,5102,1.308465,unclassified,0.03257659111656157
1,5103,1.308465,unclassified,0.03257659111656157
2,33,0.5253450000000001,residential,0.5758116098308312
2,3233,0.8670490000000001,residential,0.22233991114732143
2,27,1.020138,tertiary,0.12476003857012567
2,17,0.7097709999999999,residential,0.3651125032237011
2,2956,1.2461640000000003,tertiary,0.04478645944435195
2,11,1.2461640000000003,tertiary,0.04478645944435195
2,65,1.336057,residential,0.02815313354803523
2,64,1.336057,residential,0.02815313354803523
2,66,1.690527,residential,0.0032936362694894914
2,67,1.690527,residential,0.0032936362694894914
3,3,0.0,unclassified,1.0
3,45,2.188491,primary,6.91670673364683e-05
3,49,0.8816110000000001,primary,0.21130009375766073
3,173,0.6240030000000001,primary,0.4589750223143863
3,3974,1.4626400000000002,primary,0.013861618194299487
3,172,0.815883,primary,0.26412570354222537
3,3973,1.931958,unclassified,0.0005728289356024509
3,3972,1.931958,unclassified,0.0005728289356024509
3,3658,2.3877560000000004,unclassified,1.1164656587747093e-05
3,5489,1.2767200000000003,primary,0.03838732635128104
4,2122,0.7491,primary,0.3255296860856839
4,2121,0.807663,primary,0.2712704343005515
4,46,0.898369,unclassified,0.19906304003612568
4,3821,0.770568,residential,0.3049674939559758
4,3820,0.770568,residential,0.3049674939559758
4,2118,0.917808,primary,0.18549208807556714
4,21,1.1131070000000003,primary,0.08390967243296245
4,2120,1.002207,primary,0.13414449465230677
4,2117,1.118936,primary,0.08175440848865717
4,42,0.9770610000000001,tertiary,0.14818461329331134
5,607,0.0,unclassified,1.0
5,5822,0.720539,primary,0.35403733651026165
5,565,0.746279,residential,0.3282877752524164
5,900,0.28125199999999995,primary,0.8536744405686663
5,30,0.4330569999999999,primary,0.6872365447655205
5,20,0.702169,primary,0.3730351569874387
5,54,0.7138329999999999,primary,0.36091417049533203
5,1350,0.780519,unclassified,0.2956970528915707
5,189,0.780519,unclassified,0.2956970528915707
5,38,0.8693249999999999,primary,0.2205894690087214
6,5854,0.20406799999999997,residential,0.9200865868301196
6,39,0.748984,primary,0.32564284537801735
6,19,0.7160880000000001,primary,0.3585941442256768
6,1017,1.1272620000000002,primary,0.07875297428525203
6,52,1.5730029999999997,tertiary,0.007092787360325937
6,50,1.416374,primary,0.018092991678907773
6,55,1.416374,primary,0.018092991678907773
6,4399,1.416374,primary,0.018092991678907773
6,4400,1.416374,primary,0.018092991678907773
6,4565,1.4303170000000003,primary,0.016712247569221555
7,71,0.0,unclassified,1.0
7,70,0.13736399999999999,primary,0.9629654579944184
7,69,0.13736399999999999,primary,0.9629654579944184
7,73,0.14505200000000001,primary,0.9587929154663085
7,5692,0.40890899999999997,residential,0.7157580124666465
7,76,0.37492899999999996,primary,0.7549199890764575
7,11,0.7718720000000001,primary,0.303743170427941
7,2956,0.7718720000000001,primary,0.303743170427941
7,75,0.476474,primary,0.635047839360238
7,3708,0.9396139999999998,residential,0.1710586261948597
8,1633,0.411811,primary,0.7123566361958182
8,1632,0.47936199999999995,primary,0.6315514586763958
8,3343,0.864326,unclassified,0.22444628430638922
8,24,0.830723,primary,0.2515278888682481
8,4359,0.731474,secondary,0.34297132861560753
8,2473,1.0646479999999998,primary,0.10362768783095604
8,2472,1.0646479999999998,primary,0.10362768783095604
8,5431,0.8972069999999999,primary,0.19989544948377352
8,41,1.004231,secondary,0.1330593775396433
8,4961,0.968369,residential,0.1532818277886909
9,38,0.181784,residential,0.936045825053946
9,5103,0.8312660000000001,primary,0.251074310596885
9,47,0.8312660000000001,primary,0.251074310596885
9,5102,0.8312660000000001,primary,0.251074310596885
9,3874,1.283152,residential,0.03714381123677087
9,5104,1.6919979999999997,primary,0.0032610225602204865
9,406,1.221725,primary,0.05052818643142913
9,4449,1.3053519999999998,primary,0.03311106747085942
9,23,1.6020329999999996,primary,0.005898722563477383
9,565,1.056368,residential,0.10733218693979682
10,1348,0.136842,secondary,0.963241166602489
10,1554,0.136842,secondary,0.963241166602489
10,570,0.226118,tertiary,0.9027959682764174
10,1477,0.241096,secondary,0.890248570608848
10,2138,0.24011000000000002,tertiary,0.8910937624674927
10,1563,0.28428699999999996,secondary,0.8507489526109457
10,32,0.303957,secondary,0.8312873832454039
10,5769,0.409009,residential,0.7156409357704131
10,179,0.7056789999999998,secondary,0.3693665741868564
10,2137,0.391041,tertiary,0.7365146680719655
11,11,0.0,unclassified,1.0
11,27,0.269326,tertiary,0.8649591586901924
11,70,0.6345080000000001,tertiary,0.44699815847132723
11,69,0.6345080000000001,tertiary,0.44699815847132723
11,66,0.520991,tertiary,0.5810820882980366
11,67,0.520991,tertiary,0.5810820882980366
11,7,0.771872,primary,0.3037431704279412
11,71,0.771872,primary,0.3037431704279412
11,5692,0.4488519999999999,tertiary,0.6683547150632423
11,17,1.801475,tertiary,0.001517601196011122
12,5706,0.041172,tertiary,0.9966154732986643
12,4869,0.18368600000000002,tertiary,0.9347453935006419
12,4858,0.24009099999999994,tertiary,0.8911100229722517
12,4853,0.24009099999999994,tertiary,0.8911100229722517
12,4873,0.281529,tertiary,0.8534083228635435
12,28,0.633336,residential,0.4483285352160096
12,4851,0.6098429999999999,tertiary,0.47529625753303567
12,4848,0.6098429999999999,tertiary,0.47529625753303567
12,4852,0.5407090000000001,unclassified,0.5572549380114836
12,4850,0.5407090000000001,unclassified,0.5572549380114836
13,2736,0.0,unclassified,1.0
13,3132,0.21204900000000004,primary,0.9139955677742987
13,5799,0.20772600000000002,primary,0.9173188271469223
13,5629,0.20561500000000002,tertiary,0.9189210614526098
13,5598,0.301327,primary,0.8339382485605636
13,34,0.36409600000000003,tertiary,0.7671048431662553
13,18,0.372044,primary,0.7581807419857333
13,5599,0.372044,primary,0.7581807419857333
13,3131,1.8206019999999998,tertiary,0.0013212417236786991
13,3133,1.8206019999999998,tertiary,0.0013212417236786991
14,51,0.38102299999999995,residential,0.7479964454747913
14,1017,0.3808639999999999,primary,0.7481776920582992
14,4400,0.505014,residential,0.6004485736227787
14,50,0.505014,residential,0.6004485736227787
14,55,0.505014,residential,0.6004485736227787
14,4399,0.505014,residential,0.6004485736227787
14,4565,0.7240909999999999,secondary,0.3504225550481051
14,4398,0.7240909999999999,secondary,0.3504225550481051
14,54,0.9666879999999999,residential,0.15428227826250163
14,43,0.6815749999999999,tertiary,0.3949133278785747
15,5768,0.204625,primary,0.9196677814716052
15,32,0.645485,secondary,0.43461192589610925
15,179,0.27298400000000006,primary,0.8615341974923263
15,181,0.32811599999999996,primary,0.8062832117018977
15,5769,0.8383039999999999,residential,0.24524263959502093
15,570,0.999525,residential,0.13559260352355665
15,180,0.425791,primary,0.6958675410368962
15,2138,1.014264,secondary,0.1277777409227186
15,10,0.779914,secondary,0.29625589298682153
15,2137,1.009724,residential,0.1301477269747706
16,5497,1.2891810000000001,residential,0.03600939863079619
16,4846,1.674537,residential,0.003667854734854074
16,5446,1.91414,tertiary,0.0006569754682617462
16,774,0.507878,unclassified,0.5969749502990049
16,773,1.023131,secondary,0.12324339147980372
16,26,1.251651,residential,0.04357548961031995
16,5773,1.3849569999999998,residential,0.021575178173874214
16,4851,1.6463189999999999,tertiary,0.0044239049524432625
16,4848,1.6463189999999999,tertiary,0.0044239049524432625
16,670,1.052699,secondary,0.10900621618030332
17,27,1.4459039999999999,tertiary,0.015278987593144746
17,33,0.417159,residential,0.7060683292287492
17,659,2.6125329999999996,unclassified,1.1792200033323392e-06
17,5422,1.958385,unclassified,0.00046636423151295804
17,307,2.046749,unclassified,0.00022978581133309
17,2956,1.67193,tertiary,0.003732414820659798
17,11,1.67193,tertiary,0.003732414820659798
17,1715,2.607673,tertiary,1.240598107527421e-06
17,1717,2.607673,tertiary,1.240598107527421e-06
17,1716,2.607673,tertiary,1.240598107527421e-06
18,18,0.0,unclassified,1.0
18,34,0.534087,residential,0.5652439635500268
18,2736,0.372044,primary,0.7581807419857333
18,13,0.372044,primary,0.7581807419857333
18,5629,0.441925,primary,0.676653867207642
18,3132,0.584093,primary,0.5054383202388414
18,5799,0.57977,primary,0.5105501006705602
18,5598,0.6733709999999999,primary,0.4037913449714384
18,3130,2.333573,primary,1.8622763291198017e-05
18,3131,2.192646,primary,6.669417350329156e-05
19,39,0.188836,residential,0.9311656693495632
19,6,0.716088,primary,0.3585941442256769
19,5854,0.791249,primary,0.2858894846918495
