,LocationID,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00
0,CENCY001,33,48,61,105,149,179,271,282,303,410,380,286,220,152,96,54,47,41,23,21,21,18,16,14,12,15,17,22,14,13,26,20,21,27,33,43,24,22,24,45,34,52,76,89,131,160,259,303,301,348,345,289,235,208,154,106,96,74,65,58,66,68,36,44
1,CENCY002,18,39,56,63,72,81,94,129,116,172,190,188,171,158,109,76,66,40,42,40,35,33,37,42,44,37,50,44,44,43,36,40,46,42,34,32,58,41,52,61,46,76,86,103,116,172,194,170,156,165,128,130,94,86,44,57,44,58,55,48,37,34,50,22
2,CENCY003,15,35,45,54,72,102,145,170,230,257,299,299,177,138,86,44,51,24,28,23,14,18,18,16,15,15,16,14,24,18,14,14,21,15,21,13,25,22,19,32,38,38,37,41,89,134,136,174,208,200,161,112,131,126,62,50,33,38,37,22,21,17,19,23
3,CENCY004,9,15,19,26,32,47,96,69,130,136,184,143,91,55,43,27,14,8,7,10,13,19,13,9,5,12,10,15,14,10,10,8,4,8,11,7,13,14,8,7,14,26,19,32,41,82,116,200,120,191,136,124,95,70,65,49,49,18,10,20,9,21,6,15
4,CENCY005,20,21,38,49,46,67,97,99,131,135,186,167,134,126,66,55,32,36,29,37,35,35,35,33,39,27,22,19,26,69,25,24,16,39,26,32,30,31,16,22,51,70,29,43,77,138,151,129,283,248,233,120,120,117,84,87,60,62,56,33,46,29,31,32
5,CENCY006,12,31,34,32,51,52,74,108,105,129,164,174,117,74,75,45,33,10,18,25,16,8,20,15,11,16,10,14,28,14,18,17,19,24,17,16,11,16,29,24,25,35,43,51,79,149,149,222,215,199,189,126,128,88,66,51,40,31,36,30,28,24,23,17
6,CENCY007,21,31,29,43,73,94,108,158,179,195,198,227,125,100,80,72,31,34,15,20,17,28,15,26,20,26,21,16,19,12,16,20,21,15,20,15,11,19,17,27,29,29,23,30,47,44,68,64,91,86,78,46,62,56,28,34,24,28,18,22,14,13,9,14
7,CENCY008,11,24,24,27,19,47,52,64,71,69,90,80,74,55,53,36,28,24,18,19,21,21,15,26,30,29,44,33,21,30,30,34,21,42,19,33,31,39,41,41,47,64,56,63,72,80,103,142,117,147,91,87,94,71,60,37,35,43,26,29,40,27,29,32
8,CENCY009,9,9,17,22,33,39,42,62,52,56,68,60,54,47,36,35,25,26,25,23,22,24,18,22,21,16,18,14,20,13,20,22,25,25,30,25,25,18,22,31,29,29,39,45,55,68,74,89,84,96,69,63,60,49,37,27,19,19,19,14,10,10,9,7
9,CENCY010,14,21,22,32,63,81,97,144,135,160,172,147,114,65,37,36,27,23,23,12,7,14,14,11,9,20,26,34,12,31,26,20,20,25,32,22,25,31,16,46,48,46,81,71,69,90,126,149,158,167,140,124,84,63,51,30,37,26,27,45,32,21,14,11
10,CENCY011,14,15,42,62,31,46,79,102,123,145,185,191,91,61,63,47,33,27,23,25,26,38,35,37,29,36,34,41,25,31,35,39,34,24,34,34,26,24,34,30,44,40,57,73,74,84,210,283,285,241,233,183,150,69,56,46,31,43,39,40,40,44,36,29
11,CENCY012,9,18,28,35,50,65,85,109,96,195,180,127,128,74,66,52,41,33,36,21,25,13,26,26,30,25,16,31,24,12,14,6,10,15,12,14,23,23,35,47,44,50,54,58,76,78,116,140,112,113,88,75,59,40,37,32,32,42,30,23,12,15,8,8
12,CENCY013,6,28,57,120,187,250,270,302,336,375,417,318,267,151,130,98,98,96,83,62,55,52,43,29,29,31,28,29,26,20,19,23,16,15,17,19,28,21,40,33,38,52,66,117,136,160,208,315,350,337,300,261,192,148,109,92,72,54,26,29,20,17,7,5
13,CENCY014,37,43,56,84,101,183,246,252,285,343,338,320,227,121,83,84,55,53,36,67,66,31,29,30,26,32,44,22,24,23,38,33,32,30,27,26,46,38,22,39,71,72,71,88,125,202,263,394,371,400,351,295,240,176,142,110,101,62,78,62,38,33,40,31
14,CENCY015,32,43,81,93,103,156,208,265,289,348,336,257,174,140,81,50,44,31,29,35,18,35,38,27,24,30,51,26,22,25,34,36,29,31,34,37,55,28,22,40,37,42,62,61,87,135,244,354,409,441,357,312,238,189,100,112,86,82,62,64,36,26,34,31
15,CENCY016,6,9,36,30,38,51,75,130,138,158,178,205,149,102,52,46,39,39,30,22,20,12,23,23,18,12,26,18,28,21,23,21,22,28,27,14,22,27,44,27,37,44,48,68,90,121,133,176,153,190,130,123,90,80,66,50,40,23,27,22,27,23,19,19
16,CENCY017,19,27,56,71,92,124,178,243,268,337,476,456,362,288,210,181,81,63,78,56,63,43,56,48,52,54,55,69,110,62,72,64,29,36,29,29,45,48,49,67,67,78,83,131,150,238,270,327,275,384,276,209,141,122,84,69,83,80,75,68,58,36,32,17
17,CENCY018,2,5,8,13,27,38,48,58,76,89,85,86,59,41,35,33,22,28,23,24,21,22,18,14,15,10,12,11,17,16,13,16,13,15,14,19,14,18,15,25,31,40,39,48,59,65,65,88,102,96,82,70,66,47,43,40,35,31,28,20,14,9,7,8
18,CENCY019,6,23,42,80,125,157,201,296,313,306,255,228,178,153,137,102,93,66,53,43,42,33,38,28,26,20,19,23,19,21,20,24,21,22,28,26,25,30,36,42,51,71,86,107,125,170,199,287,324,329,278,239,242,231,202,181,129,75,64,45,31,31,26,18
19,CENCY020,1,6,9,12,27,14,37,25,48,41,55,43,51,16,20,15,9,1,6,11,11,12,16,9,14,1,7,2,10,23,15,9,13,7,12,5,2,7,7,8,19,19,28,27,25,20,32,31,32,43,41,23,33,20,23,17,21,9,10,7,5,8,6,8
20,CENCY021,11,17,26,25,45,47,78,84,80,83,134,106,74,43,34,21,9,12,14,10,17,16,11,18,10,8,15,16,11,16,8,7,12,10,17,11,24,15,20,14,33,22,40,29,44,55,59,59,54,58,62,29,37,21,21,20,14,12,4,14,26,8,9,8
21,CENCY022,9,9,24,33,36,59,57,99,101,143,135,103,77,55,36,33,23,14,15,17,12,27,13,14,11,13,13,10,17,18,17,15,10,19,18,15,18,26,21,26,19,29,24,39,45,72,93,111,120,139,91,82,70,62,38,41,20,29,20,16,13,14,15,14
22,CENCY023,16,25,33,45,75,88,141,151,195,268,279,299,268,214,123,96,57,46,18,29,26,36,15,23,30,18,19,22,22,22,18,23,19,19,26,25,18,35,28,43,34,45,61,82,111,141,171,212,265,246,237,168,146,119,98,72,63,49,55,60,44,29,27,30
23,CENCY024,5,7,12,13,18,23,22,41,63,58,65,69,63,37,20,14,12,12,7,9,8,5,11,6,7,3,7,7,9,11,9,11,4,7,11,15,3,10,14,15,13,19,14,20,47,49,68,80,44,62,51,41,26,26,22,19,8,18,8,10,8,9,13,6
24,CENCY025,10,15,29,35,45,80,90,119,135,180,192,212,159,114,97,46,37,25,27,19,27,21,14,19,27,28,17,20,23,20,26,21,10,19,16,13,24,19,24,40,30,44,35,67,83,114,135,209,184,194,182,166,144,121,97,67,72,47,46,47,40,31,17,11
25,CENCY026,6,5,13,15,19,33,36,42,30,44,61,50,34,49,25,18,16,15,12,10,11,10,8,16,15,8,20,7,21,15,17,10,17,10,9,8,13,10,11,13,7,16,28,27,30,41,36,49,33,39,37,25,34,31,14,20,15,15,24,7,14,12,4,5
26,CENCY027,7,13,17,14,35,37,49,62,55,83,91,95,80,51,37,31,16,20,14,15,15,18,12,10,15,13,21,19,17,15,11,19,16,25,14,18,23,24,31,18,24,18,41,44,42,63,75,83,82,71,82,65,57,53,32,28,25,21,45,34,24,33,29,25
27,CENCY028,9,31,32,46,62,113,124,181,221,327,334,363,251,179,132,72,35,35,29,37,33,33,26,23,16,23,39,30,24,26,28,25,31,47,27,32,27,35,34,27,31,42,55,69,110,181,188,283,252,293,227,219,158,138,73,81,95,78,45,39,41,34,38,27
28,CENCY029,9,36,74,139,221,270,305,331,370,422,420,349,263,185,112,95,97,98,86,60,52,41,30,29,26,24,24,27,26,21,19,19,27,23,22,29,32,37,37,48,66,87,87,127,150,262,325,424,402,426,400,351,280,222,157,117,97,71,47,49,34,22,17,12
29,CENCY030,21,52,71,122,108,186,179,353,379,585,663,662,510,370,268,128,85,65,67,70,46,38,25,43,42,44,39,43,45,77,94,66,65,54,110,88,49,44,55,54,103,94,144,130,220,332,421,393,469,477,458,391,274,230,187,184,103,117,97,70,78,74,55,64
30,CENCY031,60,64,94,133,160,246,268,341,369,458,474,458,429,324,217,162,80,81,70,59,42,64,49,41,36,44,43,45,50,42,44,36,68,69,60,69,62,69,70,90,91,109,117,118,159,238,421,324,284,341,324,260,221,187,165,122,98,85,92,61,62,51,35,38
31,CENCY032,46,47,74,98,100,122,177,208,225,297,350,306,246,173,113,71,56,40,32,40,32,25,32,43,32,31,35,25,22,32,34,31,37,29,25,39,25,55,51,53,54,49,77,109,136,201,251,237,233,245,195,197,138,107,111,97,76,70,65,62,56,53,45,39
