LocationID,06:00-06:14,06:15-06:29,06:30-06:44,06:45-06:59,07:00-07:14,07:15-07:29,07:30-07:44,07:45-07:59,08:00-08:14,08:15-08:29,08:30-08:44,08:45-08:59,09:00-09:14,09:15-09:29,09:30-09:44,09:45-09:59,10:00-10:14,10:15-10:29,10:30-10:44,10:45-10:59,11:00-11:14,11:15-11:29,11:30-11:44,11:45-11:59,12:00-12:14,12:15-12:29,12:30-12:44,12:45-12:59,13:00-13:14,13:15-13:29,13:30-13:44,13:45-13:59,14:00-14:14,14:15-14:29,14:30-14:44,14:45-14:59,15:00-15:14,15:15-15:29,15:30-15:44,15:45-15:59,16:00-16:14,16:15-16:29,16:30-16:44,16:45-16:59,17:00-17:14,17:15-17:29,17:30-17:44,17:45-17:59,18:00-18:14,18:15-18:29,18:30-18:44,18:45-18:59,19:00-19:14,19:15-19:29,19:30-19:44,19:45-19:59,20:00-20:14,20:15-20:29,20:30-20:44,20:45-20:59,21:00-21:14,21:15-21:29,21:30-21:44,21:45-21:59
CSHCY038,17,26,44,56,57,85,99,108,121,98,95,70,61,42,26,7,12,15,6,10,15,9,7,9,11,9,12,11,16,11,9,19,8,9,9,27,14,16,15,20,25,28,34,38,40,56,79,97,91,50,122,95,64,36,44,45,22,25,27,17,2,13,10,2
CSHCY063,15,23,27,35,73,100,99,140,98,87,91,60,43,21,27,22,13,10,17,11,15,19,14,10,14,12,14,18,20,14,16,16,11,12,16,14,17,12,24,16,31,33,37,56,68,66,54,102,129,113,123,97,83,79,67,37,32,26,15,21,22,13,12,15
CSHCY098,11,16,17,11,15,24,19,28,28,29,17,26,12,9,13,8,5,2,5,6,10,2,7,0,3,2,2,6,4,0,3,6,5,6,8,5,8,6,11,8,17,11,18,6,10,7,11,14,9,10,8,7,7,9,11,9,12,7,10,6,13,5,6,7
INNCY002,25,19,19,53,50,73,68,101,103,121,102,98,82,41,40,25,12,15,20,18,16,16,16,18,7,13,14,13,8,19,18,22,15,19,15,13,11,12,11,15,16,22,21,29,40,34,41,48,53,69,53,53,22,24,25,24,16,17,16,21,10,8,13,11
INNCY027,4,6,10,9,14,29,22,24,28,17,22,10,6,3,7,6,3,9,2,7,7,1,6,7,16,1,7,6,3,1,2,2,4,3,3,7,5,8,4,6,4,6,12,8,13,19,15,11,29,21,22,12,9,16,10,9,13,13,6,2,4,0,3,1
INNCY039,3,9,11,16,15,18,26,22,27,20,22,10,11,7,3,7,5,4,5,3,4,3,4,5,6,4,6,2,3,5,7,4,6,5,4,5,6,6,10,2,5,14,12,10,11,15,24,24,30,22,27,24,25,15,14,8,12,7,4,7,6,7,1,2
INNCY040,2,3,3,3,2,12,9,14,13,15,7,8,4,4,1,4,2,2,2,0,1,1,3,2,3,2,2,4,2,2,0,4,2,2,2,5,1,3,3,6,10,7,4,7,6,7,10,7,17,20,9,6,10,8,3,3,4,4,6,0,0,2,0,4
INNCY048,14,20,21,35,35,45,68,54,62,52,66,60,54,54,43,32,44,23,25,24,31,18,20,26,25,25,27,14,22,17,15,13,20,26,23,28,22,32,47,38,41,36,44,61,61,69,73,78,57,57,39,33,27,27,26,24,21,24,25,25,11,8,3,5
INNCY104,7,13,18,16,24,28,34,43,42,48,43,25,32,21,11,8,6,6,3,13,9,4,15,5,5,5,8,2,5,4,7,3,5,7,6,9,7,9,7,15,10,18,15,19,19,21,33,35,48,39,30,32,25,21,15,14,16,14,8,6,5,6,6,2
INNCY108,10,8,10,21,19,23,40,48,40,21,21,19,14,8,14,4,5,10,8,9,9,2,7,3,4,4,4,8,3,2,4,2,2,8,5,5,8,5,7,8,11,13,18,21,17,23,23,20,32,43,28,18,24,19,12,14,18,13,7,12,3,7,3,3
