LocationID,office,sustenance,transport,retail,leisure,residence
Abbey Road,0.106398818,0.033715638,0.114609202,0.025716486,0.259054135,0.32985684
Aldgate,0.832830479,0.730165682,0.696882848,0.397327784,0.636477168,0.330863596
Aldgate East,0.719466346,0.696429625,0.54336774,0.36314791,0.638106098,0.397428636
All Saints,0.261336806,0.23271566,0.355811695,0.363986091,0.357170006,0.455727784
Angel,0.225596845,0.310997717,0.351804276,0.435456884,0.160449585,0.702890344
Archway,0.055528056,0.090075031,0.228193194,0.199036498,0.13411522,0.579849543
Arsenal,0.100274213,0.264664803,0.241424506,0.676760576,0.222077428,0.68230708
Baker Street,0.507240313,0.241734569,0.430141142,0.522791777,0.187761307,0.492525822
Barbican,1,0.508600786,0.766862474,0.37730255,0.690992018,0.340930632
Barons Court,0.333231191,0.20689892,0.284097201,0.161991985,0.103980018,0.708826227
Battersea Park,0.099586717,0.069519154,0.124609057,0.089612685,0.266330021,0.283140182
Bayswater,0.367482233,0.248038226,0.28899553,0.441662925,0.237389369,0.626658535
Beckton,0.003339265,0.010245491,0.032469176,0.050984979,0.141391106,0.148625452
Beckton Park,0.003339265,0.017188262,0.058504387,0.025681057,0.171037628,0.127666084
Belsize Park,0.031231953,0.068772143,0.159056572,0.072068895,0.098821741,0.629620846
Bermondsey,0.055074308,0.138930888,0.226558554,0.177650036,0.505402617,0.647226249
Blackwall,0.213007814,0.21618473,0.248404667,0.332950094,0.313406092,0.337815734
Bond Street,0.583218423,0.517699063,0.514574344,0.794332377,0.362816963,0.242418323
Borough,0.243251737,0.426370021,0.632888415,0.398512865,0.767931802,0.558668921
Bounds Green,0.037199417,0.031043635,0.051878399,0.150467899,0.080469132,0.381783378
Bow Church,0.142563063,0.060851057,0.150667456,0.117230895,0.610577184,0.539750763
Bow Road,0.110449151,0.063345984,0.234495997,0.143163486,0.381169572,0.629638774
Brockley,0.003339265,0.031851206,0.10111018,0.034792893,0.047510452,0.394160812
Bromley-by-Bow,0.097816906,0.041405412,0.115419727,0.094162743,0.610577184,0.349097563
Bruce Grove,0.079474517,0.081929118,0.150339122,0.171932878,0.365151762,0.562436763
Caledonian Road,0.025731987,0.168890057,0.201576495,0.233542361,0.144214584,0.651152249
Cambridge Heath,0.10755774,0.175314155,0.237059682,0.234158976,0.260900255,0.736619408
Camden Road,0.033345512,0.182459451,0.439499338,0.146167977,0.06868654,0.605027793
Camden Town,0.051477723,0.185876796,0.417260228,0.159998692,0.06868654,0.57171383
Canada Water,0.047217213,0.081486615,0.198725637,0.078437963,0.552424391,0.448750035
Canning Town,0.094734961,0.087016325,0.201033681,0.217951506,0.589835478,0.310684268
Canonbury,0.010017796,0.133949158,0.24031024,0.174969869,0.04941087,0.673310703
Chalk Farm,0.07269188,0.169520027,0.342539327,0.144694268,0.147743932,0.589383051
Chancery Lane,0.607229706,0.570672712,0.695510646,0.310713996,0.227290004,0.299733728
Clapham Common,0.088195893,0.245951011,0.166895789,0.125544907,0.461312917,0.548391017
Clapham High Street,0.128500827,0.285437941,0.200143115,0.225455975,0.462778954,0.697393218
Clapham Junction,0.160380991,0.214768457,0.282208208,0.427057629,0.238638215,0.620732458
Clapham North,0.125161562,0.292243522,0.227773104,0.215314827,0.462778954,0.742794987
Clapham South,0.04124975,0.070462946,0.064815437,0.109985619,0.079003095,0.455853371
Clapton,0.003339265,0.051931309,0.172377639,0.070902061,0.09952761,0.624927428
Covent Garden,0.440798752,0.867609398,0.863907381,0.744423461,0.405549221,0.170923832
Crouch Hill,0.114947338,0.101982848,0.189148319,0.222505094,0.130585872,0.626226278
Custom House,0.110462901,0.056021569,0.076309401,0.040611943,0.256447847,0.27752918
Cyprus,0.006678531,0.011930511,0.068381644,0.057586002,0.158820655,0.089213468
Dalston Junction,0.019778273,0.194943925,0.361707649,0.107816245,0.15197915,0.754549202
Dalston Kingsland,0.008581912,0.205618322,0.348240627,0.146180763,0.098333062,0.796003313
Denmark Hill,0.131496344,0.094242832,0.178296765,0.13160397,0.158820655,0.521995175
Devons Road,0.057845899,0.049054019,0.209585106,0.113965812,0.095292393,0.564831999
East Acton,0.003339265,0.005398644,0.042301273,0,0,0.23341811
East Ham,0.077156674,0.086406621,0.08013075,0.223369846,0,0.812515683
East India,0.089234994,0.114166665,0.233287245,0.13887675,0.189878916,0.281368556
East Putney,0.013357062,0.034091088,0.197857555,0.032832165,0.305858717,0.423135817
Elverson Road,0.029071252,0.091230725,0.39700908,0.115635647,0.098821741,0.399609439
Embankment,0.288732533,0.638720816,0.963034528,0.570119555,0.34223815,0.12734574
Euston Square,0.273261912,0.44834395,0.598076973,0.291924855,0.288429169,0.583927789
Farringdon,0.774075122,0.489667527,0.673233257,0.25499855,0.490579356,0.38071787
Finchley Road,0.035296036,0.067641402,0.157960302,0.242882156,0.405603518,0.577372781
Finsbury Park,0.173050556,0.217105388,0.251989893,0.549734234,0.16750828,0.629122038
Forest Gate,0.054506633,0.026051629,0.068544302,0.067110402,0.031764131,0.633001278
Forest Hill,0,0.018123497,0.077663407,0.018565378,0.419992398,0.333349756
Fulham Broadway,0.035749783,0.16445689,0.256419521,0.374411339,0.256665038,0.695750838
Gallions Reach,0.010017796,0.004545195,0.043720391,0.018345344,0.129174133,0.043403715
Gloucester Road,0.171447709,0.290033623,0.310269344,0.533321315,0.11646848,0.702910771
Goldhawk Road,0.525121097,0.259279614,0.320014602,0.591105041,0.132214802,0.686458873
Goodge Street,0.521689511,0.704133566,0.733196851,0.562327457,0.273117229,0.458833215
Gospel Oak,0.185439231,0.104070028,0.156696244,0.147163458,0.153390889,0.479553395
Great Portland Street,0.454493669,0.403014073,0.474902056,0.482277065,0.216919151,0.408511269
Green Park,0.536425493,0.521214669,0.524054513,0.555602965,0.256665038,0.031235082
Hackney Central,0.159416532,0.172090782,0.37947229,0.125462395,0.261877613,0.720577229
Hackney Downs,0.081377899,0.166386233,0.356212427,0.164597032,0.082586741,0.695320196
Hackney Wick,0.26984604,0.07569257,0.176367413,0.068465636,0.362328284,0.089784165
Haggerston,0.167607554,0.172485831,0.283941859,0.206564742,0.286800239,0.722532385
Hampstead,0.006678531,0.028933719,0.063543671,0.052517359,0.043981104,0.262264132
Hampstead Heath,0.006678531,0.047691305,0.081512201,0.03304827,0.109409784,0.407641145
Harringay Green Lanes,0.060303205,0.067087225,0.139474182,0.197252051,0.215018733,0.462290055
Heron Quays,0.424560101,0.250084345,0.39877123,0.267292956,0.413150893,0.457576971
High Street Kensington,0.148540348,0.212754265,0.226930573,0.363309673,0.084704349,0.518914907
Highgate,0.059615709,0.016302471,0.067301124,0.089844574,0.155291307,0.17545809
Holborn,0.483103317,0.752695536,0.6999937,0.505857875,0.346256176,0.330688109
Holland Park,0.173007342,0.169686817,0.253163466,0.389202239,0.448227181,0.615418004
Holloway Road,0.036928347,0.195123734,0.187842693,0.330969987,0.191725037,0.64088901
