LocationID,latitude,longitude,transport_mode,node_ID
CENCY001,51.49262789,-0.125203586,bike,0
CENCY002,51.51959918,-0.079239447,bike,1
CENCY003,51.50812262,-0.094550579,bike,2
CENCY004,51.50062166,-0.098912148,bike,3
CENCY005,51.50520005,-0.084614609,bike,4
CENCY006,51.5040771,-0.095727991,bike,5
CENCY007,51.49149951,-0.12212395,bike,6
CENCY008,51.50978823,-0.123115747,bike,7
CENCY009,51.51007709,-0.128248625,bike,8
CENCY010,51.49921334,-0.116965928,bike,9
CENCY011,51.50409183,-0.126231654,bike,10
CENCY012,51.50077622,-0.12021538,bike,11
CENCY013,51.50859667,-0.120585218,bike,12
CENCY014,51.50245975,-0.123705042,bike,13
CENCY015,51.49721337,-0.125721376,bike,14
CENCY016,51.49452616,-0.123007996,bike,15
CENCY017,51.50854513,-0.116811764,bike,16
CENCY018,51.49945297,-0.12969247,bike,17
CENCY019,51.50093178,-0.124877229,bike,18
CENCY020,51.50629969,-0.134988733,bike,19
CENCY021,51.49880781,-0.1434204,bike,20
CENCY022,51.50714314,-0.125847091,bike,21
CENCY023,51.49749583,-0.111936597,bike,22
CENCY024,51.49578213,-0.11441331,bike,23
CENCY025,51.49478108,-0.110881868,bike,24
CENCY026,51.49944746,-0.113628093,bike,25
CENCY027,51.5001957,-0.107603481,bike,26
CENCY028,51.50420212,-0.104555652,bike,27
CENCY029,51.51103423,-0.109431369,bike,28
CENCY030,51.50878642,-0.104437448,bike,29
CENCY031,51.50924484,-0.087255092,bike,30
CENCY032,51.50390428,-0.091181896,bike,31
CENCY033,51.49989785,-0.081523099,bike,32
CENCY034,51.49670185,-0.102302394,bike,33
CENCY035,51.50672003,-0.103442457,bike,34
CENCY036,51.49702087,-0.109247715,bike,35
CENCY037,51.49893251,-0.101777511,bike,36
CENCY038,51.51064627,-0.075076468,bike,37
CENCY039,51.51134831,-0.085552895,bike,38
CENCY040,51.49955562,-0.104719624,bike,39
CENCY041,51.51608647,-0.101540049,bike,40
CENCY042,51.51820188,-0.114496448,bike,41
CENCY043,51.51786725,-0.109350217,bike,42
CENCY044,51.51295593,-0.104249956,bike,43
CENCY045,51.51367403,-0.111973923,bike,44
CENCY047,51.52203491,-0.109047873,bike,45
CENCY048,51.5189853,-0.087899234,bike,46
CENCY049,51.51621217,-0.104864235,bike,47
CENCY050,51.513962,-0.075469948,bike,48
CENCY051,51.51256229,-0.115536386,bike,49
CENCY052,51.5204872,-0.117371419,bike,50
CENCY053,51.52188445,-0.087013809,bike,51
CENCY054,51.51605114,-0.119442436,bike,52
CENCY055,51.51280601,-0.118394304,bike,53
CENCY056,51.51789831,-0.123603932,bike,54
CENCY057,51.52108164,-0.123602818,bike,55
CENCY058,51.51811138,-0.127933669,bike,56
CENCY059,51.52347294,-0.137098134,bike,57
CENCY060,51.51843052,-0.132158208,bike,58
CENCY061,51.51599764,-0.13524121,bike,59
CENCY062,51.51497864,-0.12997899,bike,60
CENCY063,51.51489766,-0.141858261,bike,61
CENCY064,51.51560019,-0.153316647,bike,62
CENCY065,51.51900617,-0.136689438,bike,63
CENCY066,51.52000396,-0.105787897,bike,64
CENCY067,51.51580469,-0.109147368,bike,65
CENCY068,51.52837545,-0.106867726,bike,66
CENCY069,51.52170221,-0.097371271,bike,67
CENCY071,51.51930296,-0.144633825,bike,68
CENCY072,51.51211064,-0.13171055,bike,69
CENCY073,51.52499557,-0.128242375,bike,70
CENCY074,51.52519085,-0.116845851,bike,71
CENCY075,51.51427255,-0.150098739,bike,72
CENCY076,51.51873609,-0.158306683,bike,73
CENCY077,51.51859967,-0.155919513,bike,74
CENCY078,51.50655689,-0.143263939,bike,75
CENCY079,51.50297453,-0.115989582,bike,76
CENCY080,51.50605163,-0.110502207,bike,77
CENCY081,51.49824648,-0.090539441,bike,78
CENCY082,51.49890409,-0.085094696,bike,79
CENCY083,51.5008007,-0.093876239,bike,80
CENCY084,51.5046925,-0.092647537,bike,81
CENCY085,51.49756228,-0.09879453,bike,82
CENCY086,51.51110533,-0.094930526,bike,83
CENCY087,51.50918964,-0.08332324,bike,84
CENCY088,51.52260471,-0.101456363,bike,85
CENCY089,51.5248884,-0.09311554,bike,86
CENCY090,51.52448477,-0.099273477,bike,87
CENCY091,51.51751954,-0.091765782,bike,88
CENCY092,51.5165865,-0.084727903,bike,89
CENCY094,51.51509729,-0.078347882,bike,90
CENCY095,51.51499533,-0.079260173,bike,91
CENCY096,51.52662502,-0.113759252,bike,92
CENCY097,51.50205179,-0.080712208,bike,93
CENCY098,51.49485236,-0.127662225,bike,94
CENCY099,51.50311191,-0.107208901,bike,95
CENCY100,51.52383387,-0.090204423,bike,96
CENCY101,51.52331229,-0.102392758,bike,97
CENCY102,51.52524843,-0.12324412,bike,98
CENCY103,51.51536176,-0.12131566,bike,99
CENCY104,51.52514599,-0.114613246,bike,100
CENCY105,51.51427053,-0.146553384,bike,101
CENCY106,51.49766117,-0.129549712,bike,102
CENCY107,51.52067475,-0.094459129,bike,103
CENCY108,51.51989344,-0.129157866,bike,104
CENCY109,51.49815168,-0.136070539,bike,105
CENCY110,51.51754891,-0.151436155,bike,106
CENCY111,51.510725,-0.084829635,bike,107
CENCY112,51.51183376,-0.146565818,bike,108
CENCY113,51.52009556,-0.163570666,bike,109
CENCY114,51.52663327,-0.121558134,bike,110
CENCY115,51.51820956,-0.148281657,bike,111
CENCY116,51.51702182,-0.157943437,bike,112
CENCY117,51.5200007,-0.125737307,bike,113
CENCY118,51.51426655,-0.121432784,bike,114
CENCY119,51.52182637,-0.134210305,bike,115
CENCY120,51.52809781,-0.127668227,bike,116
CENCY121,51.53088714,-0.110944653,bike,117
CENCY122,51.51347169,-0.082869671,bike,118
CENCY123,51.51300131,-0.097056468,bike,119
CENCY124,51.52741386,-0.096902504,bike,120
CENCY125,51.51948217,-0.102436654,bike,121
CENCY126,51.51426417,-0.089552603,bike,122
CENCY127,51.52245509,-0.084510507,bike,123
CENCY128,51.51419959,-0.106086347,bike,124
CENCY129,51.52265949,-0.094851974,bike,125
CENCY130,51.5155578,-0.093894397,bike,126
CENCY131,51.51954972,-0.146021956,bike,127
CENCY132,51.50796644,-0.151089101,bike,128
CENCY133,51.51499943,-0.085010667,bike,129
CENCY134,51.51377872,-0.134250912,bike,130
CENCY135,51.50742413,-0.142378482,bike,131
CENCY136,51.51774313,-0.105002475,bike,132
CENCY137,51.49262932,-0.102370686,bike,133
CENCY138,51.49089379,-0.116876602,bike,134
CENCY139,51.50322417,-0.137246818,bike,135
CENCY140,51.50333984,-0.117458637,bike,136
CENCY141,51.49943122,-0.136234451,bike,137
CENCY142,51.5009977,-0.133519437,bike,138
CENCY143,51.50241792,-0.145953682,bike,139
CENCY144,51.51166086,-0.126627261,bike,140
CENCY145,51.51752497,-0.149347186,bike,141
CENCY146,51.51905309,-0.1636126,bike,142
CENCY147,51.51307165,-0.146371454,bike,143
CENCY148,51.52197189,-0.118549864,bike,144
CENCY149,51.50645537,-0.113237804,bike,145
CENCY150,51.50668872,-0.098731675,bike,146
CENCY151,51.49815033,-0.11293247,bike,147
CENCY152,51.50074616,-0.101601294,bike,148
CENCY153,51.49777174,-0.085689632,bike,149
CENCY154,51.50525096,-0.111039664,bike,150
CENCY156,51.51501198,-0.112970723,bike,151
CENCY157,51.52014976,-0.082661306,bike,152
CENCY158,51.51771151,-0.093617104,bike,153
CENCY159,51.51218969,-0.083110848,bike,154
CENCY160,51.51313145,-0.131438192,bike,155
CENCY161,51.52739985,-0.112732487,bike,156
CENCY162,51.52189115,-0.138287038,bike,157
CENCY163,51.49541403,-0.137522015,bike,158
CENCY164,51.49418439,-0.119636613,bike,159
CENCY165,51.51908091,-0.075600097,bike,160
CENCY166,51.4982135,-0.091275596,bike,161
CENCY167,51.52411103,-0.131421223,bike,162
CENCY168,51.52189624,-0.106026503,bike,163
CENCY169,51.49810442,-0.115109869,bike,164
CENCY170,51.50465201,-0.108470745,bike,165
CENCY171,51.49577556,-0.112886485,bike,166
CENCY172,51.51096496,-0.115184373,bike,167
CENCY173,51.50482462,-0.124256324,bike,168
CENCY174,51.50698162,-0.15193593,bike,169
CENCY175,51.50669908,-0.151125995,bike,170
CENCY176,51.51008511,-0.154289039,bike,171
CENCY177,51.50513255,-0.137370726,bike,172
CENCY178,51.49623697,-0.141781657,bike,173
CENCY179,51.51426114,-0.084955157,bike,174
CENCY181,51.51955936,-0.106656776,bike,175
CENCY182,51.52150038,-0.107686204,bike,176
CENCY183,51.51220803,-0.114196301,bike,177
CENCY184,51.52171044,-0.120751682,bike,178
CENCY185,51.51512668,-0.159807055,bike,179
CENCY186,51.51903249,-0.158856866,bike,180
CENCY187,51.51957496,-0.117682906,bike,181
CENCY188,51.51868691,-0.117820418,bike,182
CENCY189,51.51749915,-0.136923904,bike,183
CENCY190,51.52773976,-0.126644918,bike,184
CENCY191,51.52145558,-0.149404062,bike,185
CENCY192,51.51365038,-0.151132795,bike,186
CENCY193,51.51138914,-0.10801876,bike,187
CENCY194,51.5097284,-0.07832882,bike,188
CENCY195,51.49388125,-0.106943018,bike,189
CENCY196,51.51526003,-0.137490887,bike,190
CENCY197,51.49409573,-0.11579385,bike,191
CENCY198,51.49702535,-0.120715472,bike,192
CENCY199,51.5025576,-0.149103507,bike,193
CENCY200,51.50202023,-0.095323844,bike,194
CENCY201,51.50319315,-0.079021629,bike,195
CENCY206,51.52308021,-0.109739746,bike,196
CENCY207,51.52623591,-0.114726801,bike,197
CENCY208,51.49610478,-0.102082279,bike,198
CENCY701,51.50823588,-0.133468623,bike,199
CENCY702,51.50868856,-0.131965829,bike,200
CSHCY005,51.5763722,-0.075591228,bike,201
CSHCY006,51.56940767,-0.08191706,bike,202
CSHCY007,51.56437329,-0.080354248,bike,203
CSHCY008,51.55448154,-0.079256103,bike,204
CSHCY009,51.54771485,-0.078993031,bike,205
CSHCY010,51.54157051,-0.080492014,bike,206
CSHCY011,51.5276656,-0.083643073,bike,207
CSHCY013,51.52687268,-0.026601435,bike,208
CSHCY014,51.52262205,-0.04125807,bike,209
CSHCY015,51.5205784,-0.052459362,bike,210
CSHCY016,51.51900913,-0.060324291,bike,211
CSHCY017,51.51543975,-0.071271171,bike,212
CSHCY018,51.53455397,-0.006486347,bike,213
CSHCY024,51.5135046,0.001818424,bike,214
CSHCY025,51.50937063,-0.004141639,bike,215
CSHCY026,51.5089437,-0.016611336,bike,216
CSHCY027,51.50914128,-0.022453608,bike,217
CSHCY028,51.50976466,-0.037615961,bike,218
CSHCY029,51.51086202,-0.052196439,bike,219
CSHCY030,51.51109877,-0.064868471,bike,220
CSHCY031,51.51040714,-0.070921692,bike,221
CSHCY039,51.48193942,-0.027850506,bike,222
CSHCY040,51.48945738,-0.0412682,bike,223
CSHCY041,51.49557021,-0.051393338,bike,224
CSHCY042,51.49808225,-0.064613045,bike,225
CSHCY043,51.50026748,-0.073352616,bike,226
CSHCY047,51.47399592,-0.048093719,bike,227
CSHCY048,51.47354199,-0.058668057,bike,228
CSHCY049,51.47333333,-0.070542175,bike,229
CSHCY050,51.47383403,-0.089586272,bike,230
CSHCY051,51.47793854,-0.102562864,bike,231
CSHCY052,51.48434994,-0.117607097,bike,232
CSHCY053,51.48527314,-0.122466182,bike,233
CSHCY055,51.48774392,-0.127391686,bike,234
CSHCY056,51.49008307,-0.137624039,bike,235
CSHCY057,51.47667585,-0.036789981,bike,236
CSHCY058,51.47967266,-0.032095969,bike,237
CSHCY059,51.47757211,-0.028571736,bike,238
CSHCY060,51.47129412,-0.025300238,bike,239
CSHCY061,51.46632601,-0.017063429,bike,240
CSHCY062,51.49601089,-0.150233111,bike,241
CSHCY064,51.43377392,-0.162847813,bike,242
CSHCY065,51.44144112,-0.15461161,bike,243
CSHCY066,51.44937649,-0.148016812,bike,244
CSHCY067,51.45826318,-0.142460641,bike,245
CSHCY068,51.46467631,-0.13066845,bike,246
CSHCY069,51.46899014,-0.126561457,bike,247
CSHCY070,51.47770922,-0.11678605,bike,248
CSHCY071,51.48339043,-0.111064592,bike,249
CSHCY072,51.49191017,-0.102386144,bike,250
CSHCY078,51.46111697,-0.187474833,bike,251
CSHCY079,51.46622212,-0.17918136,bike,252
CSHCY080,51.47206623,-0.165845605,bike,253
CSHCY081,51.47459606,-0.154569882,bike,254
CSHCY082,51.48534188,-0.149987947,bike,255
CSHCY083,51.48519939,-0.137578173,bike,256
CSHCY088,51.55257911,-0.187462186,bike,257
CSHCY089,51.5465262,-0.179265591,bike,258
CSHCY090,51.54254079,-0.173944604,bike,259
CSHCY091,51.53949429,-0.171182493,bike,260
CSHCY092,51.52777088,-0.162151771,bike,261
CSHCY093,51.52422487,-0.148239458,bike,262
CSHCY094,51.52454963,-0.145458489,bike,263
CSHCY096,51.52437521,-0.150929064,bike,264
CSHCY097,51.524006,-0.156609277,bike,265
CSHCY099,51.5143685,-0.241094059,bike,266
CSHCY100,51.51852248,-0.186148049,bike,267
CSHCY101,51.51623663,-0.180228677,bike,268
CSHCY102,51.51186623,-0.173860004,bike,269
CSHCY103,51.51094511,-0.172455712,bike,270
CSHCY104,51.5040049,-0.153065001,bike,271
CSHCY105,51.51217152,-0.165762863,bike,272
CSHCY106,51.50578282,-0.172993689,bike,273
CSHCY107,51.50267068,-0.159718116,bike,274
CSHCY108,51.50264409,-0.151736789,bike,275
CSHCY128,51.52926146,-0.120022661,bike,276
CSHCY129,51.53325663,-0.122424536,bike,277
INNCY001,51.53155943,-0.040643763,bike,278
INNCY003,51.5137017,-0.027862524,bike,279
INNCY004,51.56384246,-0.106347233,bike,280
INNCY005,51.57524758,-0.085452331,bike,281
INNCY006,51.57112025,-0.124443554,bike,282
INNCY007,51.53759346,-0.122577717,bike,283
INNCY008,51.5404075,-0.051944584,bike,284
INNCY009,51.53196818,-0.060912507,bike,285
INNCY010,51.50615734,-0.074977463,bike,286
INNCY011,51.49381532,-0.024975368,bike,287
INNCY012,51.45527386,-0.110152798,bike,288
INNCY013,51.47843485,-0.053837512,bike,289
INNCY015,51.43644782,-0.127806889,bike,290
INNCY016,51.4554113,-0.119258428,bike,291
INNCY017,51.47066271,-0.112540657,bike,292
INNCY018,51.46732253,-0.117890429,bike,293
INNCY019,51.47680494,-0.123202752,bike,294
INNCY020,51.46658601,-0.066003676,bike,295
INNCY021,51.48982544,-0.108047332,bike,296
INNCY022,51.49450124,-0.096357594,bike,297
INNCY023,51.48984407,-0.055858117,bike,298
INNCY024,51.45122923,-0.100820743,bike,299
INNCY025,51.44061167,-0.062525357,bike,300
INNCY026,51.48608057,-0.071919786,bike,301
INNCY028,51.46327427,-0.229195798,bike,302
INNCY029,51.46540969,-0.188269332,bike,303
INNCY030,51.467355,-0.212480787,bike,304
INNCY031,51.4832175,-0.216008496,bike,305
INNCY032,51.47980527,-0.14106706,bike,306
INNCY033,51.47971346,-0.171256186,bike,307
INNCY034,51.48069231,-0.165989209,bike,308
INNCY035,51.46386412,-0.149762558,bike,309
INNCY036,51.4437913,-0.237202081,bike,310
INNCY037,51.45328442,-0.212656223,bike,311
INNCY038,51.45605518,-0.219226755,bike,312
INNCY041,51.46655056,-0.169666102,bike,313
INNCY042,51.47976501,-0.186735633,bike,314
INNCY043,51.48474806,-0.156248488,bike,315
INNCY044,51.46130428,-0.155091704,bike,316
INNCY045,51.4801377,-0.191070105,bike,317
INNCY046,51.45391129,-0.197216607,bike,318
INNCY047,51.52603088,-0.234460263,bike,319
INNCY049,51.50234889,-0.226975551,bike,320
INNCY050,51.49593697,-0.223982918,bike,321
INNCY051,51.50736435,-0.204949649,bike,322
INNCY052,51.49928134,-0.197991451,bike,323
INNCY053,51.54472636,-0.201330828,bike,324
INNCY054,51.53709848,-0.192403094,bike,325
INNCY055,51.54992191,-0.164042962,bike,326
INNCY056,51.54948617,-0.14093968,bike,327
INNCY057,51.52983759,-0.138669329,bike,328
INNCY058,51.531027,-0.134857806,bike,329
INNCY059,51.5374436,-0.153932284,bike,330
INNCY060,51.51642756,-0.170535546,bike,331
INNCY061,51.52078528,-0.200530123,bike,332
INNCY062,51.57755697,-0.146967321,bike,333
INNCY063,51.53172307,-0.145296733,bike,334
INNCY064,51.50970724,-0.192968643,bike,335
INNCY065,51.50541734,-0.194103796,bike,336
INNCY066,51.50161781,-0.183318115,bike,337
INNCY067,51.48742223,-0.195779936,bike,338
INNCY068,51.49191434,-0.192591904,bike,339
INNCY069,51.49040336,-0.196079986,bike,340
INNCY070,51.4939707,-0.214709967,bike,341
INNCY071,51.49312535,-0.236697026,bike,342
INNCY072,51.51163168,-0.224770519,bike,343
INNCY073,51.48888387,-0.229730596,bike,344
INNCY074,51.49108253,-0.241385402,bike,345
INNCY075,51.49222839,-0.171086734,bike,346
INNCY076,51.49196267,-0.148423452,bike,347
INNCY077,51.48957485,-0.16355853,bike,348
INNCY078,51.54250157,-0.147353396,bike,349
INNCY079,51.52629235,-0.162485213,bike,350
INNCY080,51.54764333,-0.098337296,bike,351
INNCY081,51.55400462,-0.074847705,bike,352
INNCY082,51.53064278,-0.056355168,bike,353
INNCY083,51.45385329,-0.086332834,bike,354
INNCY084,51.4598738,-0.121075925,bike,355
INNCY085,51.47013856,-0.210442623,bike,356
INNCY086,51.44410122,-0.190263989,bike,357
INNCY087,51.46756007,-0.162916432,bike,358
INNCY088,51.42390502,-0.142056172,bike,359
INNCY089,51.48527073,-0.093890197,bike,360
INNCY090,51.48183829,-0.127547196,bike,361
INNCY091,51.43308908,-0.089632054,bike,362
INNCY092,51.4677648,-0.023451316,bike,363
INNCY093,51.44301048,-0.116458259,bike,364
INNCY094,51.44316369,-0.068403623,bike,365
INNCY095,51.4534784,-0.113134384,bike,366
INNCY096,51.4718282,-0.052390796,bike,367
INNCY097,51.46797434,-0.091457998,bike,368
INNCY098,51.45331173,-0.077417274,bike,369
INNCY099,51.43785436,-0.105648914,bike,370
INNCY100,51.43116123,-0.05986091,bike,371
INNCY101,51.43297019,-0.154046615,bike,372
INNCY102,51.44999832,-0.17389736,bike,373
INNCY103,51.45373516,-0.243670183,bike,374
INNCY105,51.4875896,-0.222045891,bike,375
INNCY106,51.45932524,-0.172848558,bike,376
INNCY107,51.46494438,-0.158975992,bike,377
INNCY109,51.46247026,-0.208237719,bike,378
INNCY110,51.45042966,-0.14013043,bike,379
INNCY111,51.55868031,-0.13778048,bike,380
INNCY112,51.52747629,-0.214697159,bike,381
INNCY113,51.50171998,-0.212793421,bike,382
INNCY114,51.49483379,-0.185403016,bike,383
INNCY115,51.52324917,-0.149662897,bike,384
INNCY116,51.49120673,-0.134769255,bike,385
INNCY117,51.49054747,-0.211948342,bike,386
INNCY118,51.56390789,-0.129487189,bike,387
INNCY119,51.53096265,-0.170169168,bike,388
INNCY120,51.51227608,-0.169577759,bike,389
INNCY121,51.49088971,-0.185055453,bike,390
INNCY122,51.54502149,-0.134429814,bike,391
INNCY123,51.52438841,-0.17647282,bike,392
INNCY124,51.51553811,-0.163681908,bike,393
INNCY125,51.496063,-0.158687667,bike,394
INNCY126,51.51453399,-0.19574658,bike,395
INNCY127,51.51632669,-0.186624429,bike,396
INNCY128,51.50741769,-0.153359303,bike,397
INNCY129,51.50039474,-0.149378439,bike,398
INNCY130,51.55270628,-0.133062432,bike,399
INNCY131,51.52209871,-0.193544864,bike,400
INNCY132,51.56545077,-0.073123389,bike,401
INNCY133,51.54292439,-0.117426173,bike,402
INNCY134,51.52949474,-0.096570635,bike,403
INNCY135,51.5364399,-0.076901136,bike,404
INNCY136,51.51970121,-0.074492884,bike,405
INNCY137,51.56531783,-0.060143229,bike,406
INNCY138,51.55015407,-0.109021578,bike,407
INNCY139,51.57117692,-0.117312605,bike,408
INNCY140,51.54416431,-0.034030658,bike,409
INNCY141,51.51438744,-0.056009504,bike,410
INNCY142,51.55667685,-0.090343667,bike,411
INNCY143,51.54647144,-0.059719023,bike,412
INNCY144,51.50945927,-0.06034084,bike,413
INNCY145,51.52626711,-0.066373434,bike,414
INNCY146,51.54861912,-0.042305158,bike,415
INNCY147,51.54124169,-0.102843942,bike,416
INNCY148,51.53619395,-0.089917797,bike,417
INNCY149,51.54656983,-0.083209415,bike,418
INNCY150,51.51122885,-0.012952409,bike,419
INNCY151,51.54263738,-0.091868889,bike,420
INNCY152,51.50589329,-0.048661775,bike,421
INNCY153,51.57432404,-0.076817825,bike,422
INNCY154,51.53157691,-0.111896515,bike,423
INNCY155,51.53629772,-0.054643481,bike,424
INNCY156,51.55029194,-0.059094902,bike,425
INNCY157,51.54938656,-0.128453014,bike,426
INNCY158,51.54106113,-0.096693725,bike,427
INNCY159,51.53721439,-0.100704266,bike,428
INNCY160,51.55730713,-0.055896602,bike,429
INNCY161,51.54719075,-0.092615872,bike,430
INNCY162,51.52088411,-0.056251777,bike,431
INNCY163,51.5429815,-0.055324681,bike,432
INNCY164,51.54768543,-0.068984674,bike,433
INNCY165,51.55247652,-0.157780888,bike,434
INNCY166,51.52342532,-0.166608055,bike,435
INNCY167,51.48888391,-0.150492769,bike,436
INNCY168,51.51294107,-0.206805744,bike,437
INNCY169,51.50094539,-0.153505675,bike,438
INNCY170,51.56217359,-0.078917561,bike,439
INNCY171,51.52833045,-0.072629463,bike,440
INNCY172,51.53694751,-0.119864581,bike,441
INNCY173,51.51153094,-0.061088719,bike,442
INNCY174,51.48823747,-0.069106386,bike,443
INNCY175,51.47691496,-0.080010698,bike,444
INNCY176,51.42514754,-0.156390046,bike,445
INNCY177,51.44522724,-0.166662176,bike,446
INNCY178,51.45444533,-0.177087968,bike,447
INNCY179,51.48918004,-0.169941136,bike,448
INNCY180,51.518334,-0.189081489,bike,449
INNCY181,51.55511828,-0.150793307,bike,450
INNCY182,51.57252093,-0.149798529,bike,451
INNCY183,51.53743803,-0.07032689,bike,452
INNCY184,51.53211654,-0.093000933,bike,453
INNCY185,51.52381196,-0.063637586,bike,454
INNCY186,51.52492731,-0.049001393,bike,455
INNCY187,51.43905598,-0.128952055,bike,456
INNCY188,51.4802563,-0.041172797,bike,457
INNCY189,51.45774816,-0.102997245,bike,458
INNCY190,51.48680802,-0.160299244,bike,459
INNCY191,51.50117984,-0.184070347,bike,460
INNCY192,51.49902008,-0.237607716,bike,461
INNCY193,51.51151924,-0.200866442,bike,462
INNCY195,51.56542619,-0.073817004,bike,463
INNCY196,51.54303158,-0.106764258,bike,464
INNCY197,51.54421701,-0.08395728,bike,465
INNCY198,51.56079137,-0.083477095,bike,466
INNCY199,51.4515177,-0.130515143,bike,467
INNCY200,51.46082748,-0.111031849,bike,468
INNCY201,51.46515975,-0.036463672,bike,469
INNCY202,51.48613755,-0.202888299,bike,470
INNCY203,51.4684151,-0.227816159,bike,471
INNCY204,51.44093385,-0.148674917,bike,472
INNCY205,51.49967147,-0.174376302,bike,473
INNCY206,51.56912156,-0.151494952,bike,474
INNCY208,51.51266836,-0.226128154,bike,475
INNCY209,51.53293163,-0.173608253,bike,476
INNCY210,51.53616687,-0.111014446,bike,477
INNCY211,51.52531473,-0.020066237,bike,478
INNCY212,51.55427581,-0.105316499,bike,479
INNCY213,51.50559312,-0.054409694,bike,480
INNCY214,51.56033642,-0.085905537,bike,481
INNCY215,51.53852408,-0.045218677,bike,482
INNCY216,51.51700246,-0.066780254,bike,483
INNCY217,51.4950519,-0.045105411,bike,484
INNCY218,51.4555433,-0.117957553,bike,485
INNCY219,51.4619167,-0.063696184,bike,486
INNCY220,51.46931506,-0.028466948,bike,487
INNCY221,51.43213074,-0.072839724,bike,488
INNCY222,51.42693579,-0.088939298,bike,489
INNCY223,51.42374762,-0.17323228,bike,490
INNCY224,51.43633343,-0.179924091,bike,491
INNCY225,51.48484413,-0.176192806,bike,492
INNCY226,51.46356308,-0.176465525,bike,493
INNCY227,51.52668461,-0.192945297,bike,494
INNCY229,51.490286,-0.148736264,bike,495
INNCY230,51.5464102,-0.146588885,bike,496
INNCY231,51.56961927,-0.125616433,bike,497
INNCY232,51.56034605,-0.092570419,bike,498
INNCY233,51.50786611,-0.058621603,bike,499
INNCY234,51.49655703,-0.065916648,bike,500
INNCY235,51.43722928,-0.126062751,bike,501
INNCY236,51.47703553,-0.058390116,bike,502
INNCY237,51.44219404,-0.135702059,bike,503
INNCY238,51.47497725,-0.16051607,bike,504
INNCY239,51.5323854,-0.202869813,bike,505
INNCY240,51.56159781,-0.183929614,bike,506
INNCY241,51.51318967,-0.217806665,bike,507
INNCY242,51.56719622,-0.113018447,bike,508
INNCY243,51.54279522,-0.081147129,bike,509
INNCY244,51.54922274,-0.121017242,bike,510
INNCY245,51.54731405,-0.020798777,bike,511
INNCY246,51.49997623,-0.014911529,bike,512
INNCY248,51.46523243,-0.100368959,bike,513
INNCY249,51.48123771,-0.212960562,bike,514
INNCY251,51.52799608,-0.178318175,bike,515
INNCY252,51.5008636,-0.190955553,bike,516
INNCY253,51.50607233,-0.235361512,bike,517
INNCY254,51.54479518,-0.16110534,bike,518
INNCY255,51.50599782,-0.21203525,bike,519
INNCY256,51.49887107,-0.157695642,bike,520
INNCY257,51.49516386,-0.192218467,bike,521
INNCY258,51.5021505,-0.215081922,bike,522
INNCY259,51.5464046,-0.155934891,bike,523
INNCY260,51.57457843,-0.140017057,bike,524
INNCY261,51.55409473,-0.191859221,bike,525
INNCY263,51.5008414,-0.232552305,bike,526
INNCY264,51.49041443,-0.185722541,bike,527
INNCY265,51.56075883,-0.145240923,bike,528
INNCY266,51.49877299,-0.225990553,bike,529
INNCY269,51.52340401,-0.152640572,bike,530
INNCY270,51.52628143,-0.212999557,bike,531
INNCY271,51.53173636,-0.1415908,bike,532
INNCY272,51.55554069,-0.129787204,bike,533
INNCY273,51.54209222,-0.086555832,bike,534
INNCY274,51.50431207,-0.013930575,bike,535
INNCY275,51.55808034,-0.105360354,bike,536
INNCY276,51.51995294,-0.069019253,bike,537
INNCY277,51.54627009,-0.037343637,bike,538
INNCY278,51.50049139,-0.070562402,bike,539
INNCY279,51.5103616,-0.030845808,bike,540
INNCY280,51.49882671,-0.034757662,bike,541
INNCY281,51.52717138,-0.00862535,bike,542
INNCY282,51.55771882,-0.065025289,bike,543
INNCY284,51.534941,-0.132174507,bike,544
INNCY285,51.57579868,-0.079555375,bike,545
INNCY286,51.55257492,-0.059026575,bike,546
INNCY287,51.50061784,-0.020949534,bike,547
INNCY288,51.51265394,-0.015859284,bike,548
INNCY289,51.43198851,-0.128435174,bike,549
INNCY290,51.47728377,-0.122218249,bike,550
