LocationID,office,sustenance,transport,retail,leisure,residence,sum,rate_office,rate_sustenance,rate_transport,rate_retail,rate_leisure,rate_residence,
CENCY001,0.083661649,0.222880427,0.55499391,0.206112625,0.571219927,0.58230671,2.221175248,0.037665488,0.100343468,0.24986498,0.0927944,0.25717013,0.262161534,1.62156071
CENCY002,0.815667515,0.798269139,0.682704144,0.433346292,0.709524749,0.334279431,3.773791271,0.367223395,0.359390435,0.307361675,0.19509775,0.319436636,0.150496649,2.06665546
CENCY003,0.657377952,0.609393712,0.82106423,0.369454293,0.503450996,0.188546643,3.149287825,0.295959516,0.27435643,0.369653061,0.166332797,0.226659736,0.084885982,1.927209036
CENCY004,0.186000163,0.416269675,0.623198494,0.395412801,0.859889568,0.546501281,3.027271982,0.083739526,0.18740965,0.28057151,0.178019632,0.387132699,0.246041496,1.897707545
CENCY005,0.30304948,0.603660134,0.736281106,0.383163394,0.529456715,0.405036467,2.960647295,0.136436546,0.271775104,0.331482672,0.172504801,0.238367826,0.182352323,1.947130068
CENCY006,0.262954874,0.45313282,0.647159265,0.332154955,0.807261881,0.454499374,2.957163169,0.118385469,0.204005884,0.29135894,0.149540184,0.363439077,0.204621123,1.912862929
CENCY007,0.07004535,0.207476161,0.504017747,0.192297424,0.617549546,0.567943184,2.159329412,0.031535265,0.093408281,0.226914894,0.086574629,0.278028286,0.255694901,1.583432752
CENCY008,0.326590172,0.73860729,1,0.662194348,0.404086965,0.163974634,3.295453409,0.147034851,0.332529948,0.450212112,0.298127916,0.181924846,0.073823366,1.870511049
CENCY009,0.565529904,0.813710823,0.920932529,0.744596375,0.360345593,0.139179391,3.544294615,0.254608412,0.366342469,0.414614979,0.335226307,0.16223195,0.062660248,1.916228748
CENCY010,0.097176381,0.299827756,0.773529382,0.295242576,0.605662098,0.329701551,2.401139745,0.043749984,0.134986087,0.348252297,0.132921784,0.272676413,0.148435632,1.680298951
CENCY011,0.189644482,0.513928022,0.871047571,0.423747419,0.359224019,0.077519053,2.435110565,0.085380243,0.23137662,0.392156167,0.19077622,0.161727004,0.034900016,1.64364424
CENCY012,0.141648999,0.328727591,0.835277076,0.37353896,0.403409091,0.23221348,2.314815196,0.063772095,0.147997143,0.376051857,0.168171764,0.181619659,0.104545321,1.671778999
CENCY013,0.288689544,0.650153787,0.940638668,0.555440906,0.360345593,0.158758844,2.954027342,0.129971529,0.29270711,0.423486922,0.250066223,0.16223195,0.071475154,1.818923211
CENCY014,0.190204163,0.38918074,0.857744786,0.416527008,0.411050582,0.126435157,2.391142435,0.085632218,0.175213883,0.386167092,0.187525504,0.185059951,0.056922639,1.6723101
CENCY015,0.140623391,0.231196475,0.518578792,0.228889794,0.321645139,0.346450047,1.787383638,0.063310354,0.104087453,0.233470453,0.103048958,0.144808537,0.155976008,1.553663205
CENCY016,0.112837504,0.25927588,0.603982365,0.231457311,0.528729541,0.478898444,2.215181045,0.050800811,0.116729142,0.271920176,0.104204885,0.238040443,0.21560588,1.66432428
CENCY017,0.249366275,0.58805148,0.899759959,0.508984192,0.350916979,0.15555648,2.752635365,0.112267717,0.264747899,0.405082832,0.229150848,0.157987074,0.070033411,1.778770471
CENCY018,0.195095689,0.257416516,0.55815552,0.138470262,0.212137645,0.253885781,1.615161413,0.087834442,0.115892033,0.251288376,0.062340989,0.095506937,0.114302454,1.455685888
CENCY019,0.167626576,0.333869932,0.810514948,0.367243795,0.317134194,0.172458826,2.168848272,0.075467515,0.150312287,0.364903647,0.165337604,0.142777656,0.077643052,1.621635347
CENCY020,0.540504068,0.653768214,0.69385209,0.570951199,0.236491816,0.063673824,2.759241211,0.243341478,0.294334369,0.312380615,0.257049145,0.10647148,0.028666727,1.756865516
CENCY021,0.265275277,0.332854357,0.695691198,0.254923357,0.11263804,0.27741775,1.938799979,0.119430143,0.149855063,0.313208604,0.114769583,0.05071101,0.124896831,1.561305065
CENCY022,0.410871874,0.676172916,0.937738157,0.634951437,0.372362453,0.122400077,3.154496914,0.184979494,0.304421237,0.422181076,0.285862828,0.167642087,0.055105997,1.855361993
CENCY023,0.055093061,0.324864696,0.660798639,0.315201431,0.769411852,0.481413232,2.606782911,0.024803563,0.146258021,0.297499551,0.141907502,0.346398535,0.216738068,1.709260505
CENCY024,0.074687577,0.307189505,0.634644067,0.317011126,0.681127983,0.466858639,2.481518896,0.033625252,0.138300436,0.285724446,0.142722249,0.306652068,0.210185414,1.713786112
CENCY025,0.078547102,0.310151462,0.510116541,0.369637494,0.913053392,0.562365126,2.743871117,0.035362857,0.139633945,0.229660646,0.166415277,0.411067696,0.253183591,1.742602128
CENCY026,0.106217928,0.31452845,0.733264787,0.291229587,0.726471603,0.373438981,2.545151337,0.047820598,0.141604518,0.330124689,0.131115088,0.327066315,0.168126753,1.719744803
CENCY027,0.20025001,0.392539701,0.716871717,0.385110346,0.833662,0.445408508,2.973842282,0.09015498,0.176726128,0.32274433,0.173381342,0.37532473,0.200528305,1.882039633
CENCY028,0.306104997,0.424756191,0.795343369,0.374092922,0.784423684,0.368230567,3.052951731,0.137812177,0.191230382,0.358073218,0.168421165,0.353157044,0.165781861,1.922731431
CENCY029,0.431710045,0.511928998,0.90917579,0.310826921,0.283141885,0.109829883,2.556613523,0.194361091,0.230476636,0.409321953,0.139938045,0.127473906,0.049446744,1.70869941
CENCY030,0.495978891,0.465761713,0.831841507,0.31881904,0.437142575,0.167660334,2.71720406,0.223295704,0.209691565,0.374505122,0.143536193,0.196806882,0.075482713,1.82374091
CENCY031,0.644984002,0.748272515,0.846421393,0.368872856,0.626552948,0.078267952,3.313371666,0.29037961,0.33688135,0.381069163,0.166071028,0.282081726,0.03523718,1.866290756
CENCY032,0.284749759,0.455185416,0.631502859,0.354208436,0.898454447,0.437674473,3.06177539,0.128197791,0.204929988,0.284310236,0.159468928,0.404495074,0.197046349,1.924697665
CENCY033,0.079411483,0.347532297,0.496447237,0.371268612,0.345814435,0.659203491,2.299677554,0.035752011,0.15646325,0.223506559,0.167149626,0.155689847,0.296781396,1.693299582
