LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,Latitude,Longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
CENCY001,7205,CENCY,Central area cycle surveys,530251,178742,Millbank (south of Thorney Street),Westminster,Central,51.49262789,-0.125203586,1,0,13,0,0,0,1,11,0,0,37,49,15,11,29,273,15,199,0,2,12,2,103,1,0,27,2,0,0,3,0,5,2,2,1,1,5,4,0,0,4,0,7,1,0,0,0,1,0,0
CENCY002,4942,CENCY,Central area cycle surveys,533363,181824,Bishopsgate,City of London,Central,51.51959918,-0.079239447,4,1,69,1,4,5,15,10,1,0,208,154,80,57,109,504,30,224,0,7,6,0,118,0,0,37,9,0,4,3,0,49,0,2,2,0,14,2,0,0,2,0,24,0,0,0,0,0,0,0
CENCY003,4605,CENCY,Central area cycle surveys,532334,180520,Southwark Bridge,Southwark,Central,51.50812262,-0.094550579,1,1,57,5,2,3,10,4,1,0,162,99,53,49,91,408,51,213,0,7,6,3,109,0,0,31,3,0,4,8,1,30,1,3,0,2,5,1,0,0,3,0,12,0,0,0,0,0,0,0
CENCY004,2899,CENCY,Central area cycle surveys,532053,179678,Southwark Bridge Road,Southwark,Central,51.50062166,-0.098912148,1,0,10,2,0,1,2,12,0,0,107,73,20,27,57,486,19,208,0,4,12,1,108,0,0,41,6,0,0,6,4,6,1,3,2,4,3,5,0,0,9,0,10,0,0,0,0,0,0,0
CENCY005,4501,CENCY,Central area cycle surveys,533032,180213,Tooley Street,Southwark,Central,51.50520005,-0.084614609,2,0,25,2,1,1,7,6,0,0,186,97,56,45,90,379,34,200,0,5,5,4,103,0,0,39,6,0,4,8,0,25,0,1,0,0,3,3,0,0,7,0,14,0,0,0,0,0,0,0
CENCY006,3750,CENCY,Central area cycle surveys,532264,180068,Southwark Bridge Road (north - between Flat Iron Square and America Street),Southwark,Central,51.5040771,-0.095727991,1,0,23,3,0,2,3,5,0,0,115,75,23,34,73,433,30,174,0,4,8,3,88,0,0,35,5,0,2,6,1,6,0,3,1,4,3,2,0,0,9,0,12,0,0,0,0,0,0,0
CENCY007,3171,CENCY,Central area cycle surveys,530468,178622,Albert Embankment (south of Salamanca Street),Lambeth,Central,51.49149951,-0.12212395,0,0,5,0,0,0,1,18,0,0,40,37,12,13,26,265,7,188,0,1,15,2,98,1,0,28,2,0,0,4,0,3,2,2,0,1,5,5,0,0,5,0,6,1,0,0,0,1,0,0
CENCY008,3078,CENCY,Central area cycle surveys,530347,180654,Strand,Westminster,Central,51.50978823,-0.123115747,3,1,57,1,0,2,4,0,0,0,334,146,71,38,96,430,45,245,0,7,17,4,124,4,0,30,8,2,1,11,0,91,3,0,4,0,6,0,0,0,4,0,12,0,0,1,0,0,0,0
CENCY009,2191,CENCY,Central area cycle surveys,529990,180677,Charing Cross Road,Westminster,Central,51.51007709,-0.128248625,3,6,81,1,0,3,4,2,0,0,391,160,80,37,103,492,34,208,0,7,17,4,106,4,0,26,7,2,1,12,0,178,4,2,5,0,6,0,0,0,3,0,11,0,0,1,0,0,0,0
CENCY010,3576,CENCY,Central area cycle surveys,530804,179489,Lambeth Palace Road,Lambeth,Central,51.49921334,-0.116965928,3,0,5,0,0,0,0,11,0,0,72,69,13,22,35,314,23,227,0,1,11,5,115,4,0,27,7,0,0,3,2,6,1,1,2,3,4,7,0,0,3,0,4,0,0,0,0,1,0,0
