LocationID,LineCount,Entries,Exits,Stop Id,Stop Name,Easting,Northing,Location,Site Name,Heading,Status,longitude,latitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry
3013,5,18945,0,2301,LITTLE ILFORD LANE,542868,185969,"SHERINGHAM AVENUE, 38 M W OF.  45 M E OF LITTLE ILFORD LANE.  O/S NO.856.",ROMFORD ROAD,245.0,A,0.059344272,51.55452258,0,0,0,0,0,0,4,3,0,0,12,10,0,2,17,66,0,41,0,1,0,0,41,0,0,8,1,0,0,1,3,16,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,POINT (542868 185969)
3015,4,1415,0,19892,BROOK GREEN,523949,178683,"BROOK GREEN, 45 M W OF  &  OPP. 53 M E OF COLLETTE GARDENS.",HAMMERSMITH ROAD,241.0,A,-0.21595233,51.49351301,0,0,10,3,1,0,4,19,0,1,53,34,4,13,24,436,8,94,0,1,5,0,62,0,0,19,3,0,0,2,0,5,3,3,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,POINT (523949 178683)
3019,12,1076,0,19893,MOUNT EPHRAIM ROAD,530228,172435,"MOUNT EPHRAIM ROAD, 31 M N OF  &  OPP. 130 M S OF  &  OPP. BROADLANDS AVENUE. O/S 5",STREATHAM HIGH ROAD,189.0,A,-0.127855854,51.435954,0,0,0,0,0,0,2,0,0,0,7,6,2,4,4,102,0,74,0,0,0,0,67,0,0,9,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,POINT (530228 172435)
3022,5,57021,0,2299,SHEPHERDS BUSH MARKET STATION <>,523124,180007,"LIME GROVE, 31 M E OF. O/S P/W 21/23.",UXBRIDGE ROAD,287.0,A,-0.227368406,51.5055921,1,2,13,2,1,0,7,24,0,0,90,50,4,8,46,347,7,78,0,3,6,0,70,0,0,21,7,0,1,12,4,73,4,6,4,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,POINT (523124 180007)
3023,5,9643,0,2298,BOUNDARY ROAD,525974,183705,"BOUNDARY ROAD, 48 M N OF. 286 M S OF BELSIZE ROAD.",ABBEY ROAD,134.0,A,-0.185005407,51.53819823,0,0,2,0,0,0,0,14,0,0,27,18,1,2,4,114,7,95,0,0,19,0,79,0,0,18,3,0,0,1,0,4,1,3,1,0,1,1,0,1,0,0,9,0,0,0,0,0,0,0,POINT (525974 183705)
3025,5,4439,0,2297,SHEPHERDS BUSH MARKET STATION <>,523187,180004,"FRITHVILLE GARDENS, 48 M E OF.   UNDER LUL BRIDGE.",UXBRIDGE ROAD,107.0,A,-0.226462189,51.50555142,0,2,11,2,1,0,7,25,0,0,89,49,4,8,45,356,7,77,0,2,6,0,69,0,0,22,7,0,1,12,4,73,4,6,4,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,POINT (523187 180004)
3029,4,9330,0,13097,LOFTUS ROAD,522863,180079,"LOFTUS ROAD, 23 M W OF.   61 M E OF ARMINGER ROAD.",UXBRIDGE ROAD,99.0,A,-0.231102019,51.50629592,1,2,11,1,1,0,6,24,1,0,95,46,3,8,45,338,7,83,0,3,6,0,75,0,0,22,8,0,1,14,3,74,5,8,4,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,POINT (522863 180079)
3030,4,3584,0,13098,LOFTUS ROAD,522947,180050,"WARBECK ROAD, 14 YDS E OF. O/S P/W 51/53.",UXBRIDGE ROAD,279.0,A,-0.229902413,51.50601704,1,2,12,1,1,0,6,25,1,0,95,49,3,8,45,352,7,78,0,3,6,0,70,0,0,22,8,0,1,15,4,74,6,9,4,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,POINT (522947 180050)
3031,5,26054,0,13099,ADELAIDE GROVE,522419,180094,"BOSCOMBE ROAD, 13 M W OF  &  OPP. 50 M W OF ADELAIDE GROVE. O/S PH.THE QUEEN ADELAIDE. OPP 175.",UXBRIDGE ROAD,88.0,A,-0.237490998,51.50652699,1,2,8,1,1,0,4,15,1,0,56,23,2,4,33,274,5,77,0,2,0,0,72,0,0,15,6,0,0,8,3,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,POINT (522419 180094)
3032,6,11545,0,19894,ADELAIDE GROVE,522471,180078,"BOSCOMBE ROAD, 15 M E OF. O/S P/W 161/163.",UXBRIDGE ROAD,267.0,A,-0.236747677,51.50637194,1,2,8,1,1,0,4,15,1,0,61,25,2,4,34,279,5,74,0,2,0,0,69,0,0,17,6,0,0,10,3,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,POINT (522471 180078)
3038,4,514,0,17790,CHAUCER ROAD / EFFRA PARADE,531395,174614,"CHAUCER ROAD, 19 M N OF  &  OPP. O/S P/W 4/6.",DULWICH ROAD,313.0,A,-0.110268243,51.45526672,0,0,3,0,0,0,0,1,0,0,24,16,5,5,18,221,2,133,0,0,0,0,79,0,0,10,2,0,0,4,2,5,2,0,1,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,POINT (531395 174614)
305,10,34753,0,2290,HACKNEY CENTRAL STATION #,534883,184978,"ASPLAND GROVE, 20.03 M E OF O/S NO5.",AMHURST ROAD (SOUTH),304.0,A,-0.056138162,51.54758119,3,0,2,0,0,1,0,1,0,0,20,17,7,0,12,511,0,181,0,0,2,0,100,0,0,7,1,0,1,4,1,4,1,2,0,0,0,0,0,0,2,0,7,1,0,0,0,0,0,0,POINT (534883 184978)
3054,2,486,0,10370,WORMHOLT ROAD,522138,180094,"ASKEW CRESCENT, 37 M E OF.  61 M W OF BECKLOW ROAD.",UXBRIDGE ROAD,276.0,A,-0.241537796,51.50658773,1,2,7,1,0,0,2,12,1,0,41,18,1,2,22,225,0,67,0,2,0,0,67,0,0,16,7,0,0,8,2,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,POINT (522138 180094)
306,13,45820,0,2284,HACKNEY TOWN HALL,534939,184722,"WILTON WAY, 30M SOUTH OF. O/S TOWN HALL.",MARE STREET,3.0,A,-0.055429131,51.54526734,3,0,2,0,0,1,0,0,0,0,21,24,8,0,7,512,0,186,0,0,2,0,100,0,0,9,1,0,1,4,2,5,1,2,0,0,0,0,0,0,3,0,6,1,0,0,0,0,0,0,POINT (534939 184722)
307,8,60800,0,2279,HACKNEY TOWN HALL,534956,184722,"PARAGON ROAD, 90M N OF. OPP HACKNEY TOWN HALL.",MARE STREET,183.0,A,-0.055184124,51.54526328,3,0,2,0,0,1,0,0,0,0,21,23,8,0,7,508,0,186,0,0,2,0,100,0,0,8,1,0,1,4,2,5,1,2,0,0,0,0,0,0,4,0,6,1,0,0,0,0,0,0,POINT (534956 184722)
30743,6,19800,0,2275,WOOD GREEN STATION <>,531068,190242,"OPP NO. 150. BULLER ROAD, 68 M S OF & OPP. O/S J.",HIGH ROAD,343.0,A,-0.109162724,51.59578409,0,0,0,0,0,0,2,5,0,0,22,21,0,7,23,107,5,93,0,1,3,0,63,0,0,14,7,0,1,6,6,15,0,0,2,0,1,4,0,0,0,0,2,1,0,0,0,0,0,0,POINT (531068 190242)
308,6,30044,0,19898,GRAHAM ROAD / HACKNEY CENTRAL #,534837,184861,"MARE STREET, 102 M W OF. OPP 217/219",GRAHAM ROAD,263.0,A,-0.056845952,51.54654079,3,0,2,0,0,1,0,0,0,0,22,18,8,0,7,498,0,177,0,0,2,0,97,0,0,7,1,0,1,4,1,4,1,2,0,0,0,0,0,0,3,0,6,1,0,0,0,0,0,0,POINT (534837 184861)
31,5,2356,0,10373,VICTORIA BUS STATION # <>,528940,179079,"BUCKINGHAM PALACE ROAD, 40 M E OF. 10 M S OF  &  OPP 17 TERMINUS PLACE. AT E END OF BAY 1.",VICTORIA BUS STATION,77.0,A,-0.143954044,51.49595664,7,0,15,0,1,1,1,11,0,0,76,71,12,18,51,267,16,193,3,3,9,0,108,0,0,29,3,0,2,5,1,20,3,2,1,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,POINT (528940 179079)
31090,3,6799,0,10375,PUTNEY BRIDGE STATION <> / GONVILLE STREET,524336,175873,"GONVILLE STREET, 30 M S OF. 150 M N OF  &  OPP LOWER RICHMOND ROAD.",PUTNEY BRIDGE APPROACH,216.0,A,-0.211368939,51.46817435,0,0,0,0,0,0,1,9,0,0,12,19,1,8,1,192,0,64,0,0,3,2,54,0,0,10,1,0,0,0,0,2,0,1,1,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,POINT (524336 175873)
312,4,6228,0,4498,HOLLOWAY / NAGS HEAD,530402,185940,"WARLTERS ROAD, 18 M E OF & OPP.  O/S NO.87.",PARKHURST ROAD,39.0,A,-0.120367873,51.55727859,0,0,0,0,0,0,2,0,0,0,30,42,1,10,28,230,3,86,0,1,2,0,53,0,0,33,4,0,1,3,5,9,3,6,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,POINT (530402 185940)
314,8,30920,0,11201,HOLLOWAY / NAGS HEAD,530578,185863,"CAMDEN ROAD, 30 YDS N OF. O/S P/W 353/355.",HOLLOWAY ROAD,316.0,A,-0.117859143,51.55654595,0,0,0,0,0,0,3,0,0,0,37,45,2,12,26,237,3,94,0,1,2,0,56,0,0,38,5,0,1,3,5,9,3,6,0,0,1,5,0,0,0,0,5,0,0,0,0,0,0,0,POINT (530578 185863)
31498,2,2612,0,9750,PIMLICO STATION <>,529698,178332,"RAMPAYNE ST, 39M E OF;  O/S 2;  OPP 1",BESSBOROUGH STREET,98.0,A,-0.133315175,51.48907035,0,0,11,0,1,1,1,13,0,0,50,45,13,12,28,277,7,174,1,2,8,2,94,1,0,31,3,0,0,3,1,4,3,1,1,0,7,1,0,0,1,0,6,2,0,0,0,0,0,0,POINT (529698 178332)
315,12,92648,0,11205,SEVEN SISTERS ROAD / NAGS HEAD,530543,186087,"EBURNE ROAD, 18 M W OF.  40 M W OF & OPP HERTSLET ROAD. OPP 24.  O/S 27.",SEVEN SISTERS ROAD,48.0,A,-0.118280627,51.55856703,0,0,1,0,0,1,2,0,0,0,35,41,1,11,29,234,4,83,0,2,1,0,50,0,0,33,4,0,1,3,5,21,3,6,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,POINT (530543 186087)
