ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
0,Abbey Road,539081,183352,51.531952,0.003723371,3,E15 3NB,1,0,3,0,0,1,1,4,0,0,11,11,0,1,5,87,6,67,0,1,7,0,35,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,3,0,0,0,0,0,0,0
1,Abbey Wood,547297,179002,51.4907843,0.120271971,4,SE2 9RH,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,10,0,71,0,0,0,0,55,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Acton Central,520613,180299,51.50875735,-0.263430195,2,W3 6BH,0,0,0,0,0,0,3,9,0,0,25,23,0,11,21,149,0,55,0,0,0,0,54,0,0,23,3,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,3,0
3,Acton Main Line,520296,181196,51.5168865,-0.267689948,3,W3 9EH,0,0,0,0,0,0,0,1,0,0,6,11,0,3,7,71,2,58,0,0,0,0,54,0,0,12,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Acton Town,519457,179639,51.50307099,-0.280302697,3,W3 8HN,0,0,0,0,0,0,5,6,0,0,17,19,3,10,19,112,0,49,0,0,2,0,48,0,0,17,4,0,0,2,0,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,4,0,2,0
5,Addington Village,537082,163744,51.35623854,-0.0326651,"3,4,5,6",CR0 5AR,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,33,0,0,0,0,28,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Addiscombe,534190,166290,51.37980817,-0.073213283,"3,4,5,6",CR0 7AA,0,0,0,0,0,0,2,4,0,0,6,6,0,6,18,24,0,45,0,0,0,0,44,0,5,6,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Albany Park,547903,172902,51.43581582,0.126444639,5,DA5 3HP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,37,0,0,0,0,37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Aldgate,533629,181246,51.51434226,-0.075626912,1,EC3N 1AH,2,1,31,2,4,4,12,11,1,0,192,144,64,60,114,311,38,217,0,5,7,2,113,0,0,34,5,0,4,5,0,41,0,1,2,0,12,2,0,0,2,0,24,0,0,0,0,0,0,0
9,Aldgate East,533809,181333,51.51508151,-0.073001462,1,E1 7PT,2,0,24,2,3,4,9,12,1,0,185,136,61,55,111,314,15,200,0,5,7,1,104,0,0,33,5,0,3,5,0,40,0,1,2,0,13,2,0,0,2,0,22,0,0,0,0,0,0,0
10,Alexandra Palace,530300,190498,51.59826263,-0.120148971,3,N22 7ST,0,0,2,0,0,0,2,7,0,0,18,17,0,8,14,51,1,66,0,0,3,0,49,0,0,15,2,0,1,4,1,4,1,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0
11,All Saints,538012,180933,51.51047691,-0.012624885,2,E14 0EH,1,0,0,1,0,3,4,5,0,0,54,40,11,6,73,189,8,163,0,6,1,0,83,0,0,32,7,0,1,5,2,21,1,1,2,0,0,3,0,0,3,0,9,1,0,0,0,0,0,0
12,Alperton,518025,183849,51.54120879,-0.299515753,4,HA0 4LL,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,39,1,32,0,0,0,0,32,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Amersham,496454,198181,51.67412833,-0.606513768,9,HP6 5AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ampere Way,530674,166476,51.38229922,-0.123636798,"3,4,5,6",CR0 3JX,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,26,0,45,0,0,0,0,45,0,6,2,1,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Anerley,534656,169942,51.41251661,-0.0651371,4,SE20 8PY,0,0,0,0,0,0,1,1,1,0,3,11,0,0,9,52,0,65,0,0,1,0,65,0,0,5,3,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
16,Angel,531497,183263,51.53296785,-0.105581448,1,N1 8XB,0,2,5,1,0,1,3,10,0,0,105,52,14,22,38,354,1,160,0,2,3,0,98,0,0,29,5,0,0,4,4,36,1,16,2,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0
17,Angel Road,535204,192202,51.61242024,-0.048732919,4,N18 3AY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,29,0,0,0,0,23,0,0,1,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Archway,529356,186827,51.56549032,-0.135121576,"2,3",N19 5RQ,0,0,1,0,0,0,3,6,0,0,14,11,1,6,10,208,5,125,0,1,0,0,76,0,0,16,4,0,0,2,0,1,1,1,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
19,Arena,535192,167620,51.39152266,-0.05831855,"3,4,5,6",SE25 4RY,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,18,0,31,0,0,0,0,30,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,Arnos Grove,529271,192471,51.61622992,-0.134270218,4,N11 1AN,0,0,0,0,0,0,0,1,0,0,0,4,0,1,5,19,0,57,0,1,0,0,57,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Arsenal,531429,186107,51.55854121,-0.105499933,2,N5 1LP,0,0,1,0,0,1,3,8,0,0,55,64,6,14,47,315,5,100,0,3,1,0,57,0,0,46,6,0,1,7,10,22,6,7,2,0,2,5,0,0,0,0,5,0,0,0,0,0,1,0
22,Avenue Road,535764,169335,51.4067979,-0.049446937,"3,4,5,6",BR3 4NJ,0,0,0,0,0,0,0,3,0,0,5,9,0,3,7,26,0,58,0,0,1,0,58,0,4,4,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Baker Street,527965,182078,51.52312937,-0.156904193,1,NW1 5LA,4,0,7,2,0,1,4,49,0,0,111,57,4,11,40,253,10,117,0,1,40,0,67,0,0,21,3,0,1,8,3,80,7,9,2,1,0,1,0,0,1,0,7,0,0,0,0,0,0,0
24,Balham,528482,173195,51.44318231,-0.152685162,3,SW12 9SG,0,0,1,0,0,0,3,10,0,0,38,15,6,6,10,96,9,41,0,0,0,0,41,0,0,10,2,0,1,3,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
25,Bank,532704,181111,51.51334692,-0.089000123,1,EC3V 3LA,1,1,68,2,5,4,15,2,1,0,209,133,77,61,140,376,54,248,0,9,10,4,129,0,0,22,3,0,5,6,0,35,1,0,1,0,12,2,0,0,1,0,25,0,0,0,0,0,0,0
26,Banstead,524590,160426,51.32929278,-0.213132334,6,SM7 1RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Barbican,532079,181859,51.52021513,-0.097721578,1,EC1A 4JA,0,3,86,4,2,5,16,3,1,0,126,84,37,32,66,536,40,229,0,8,10,0,129,0,0,19,8,0,1,3,1,14,3,7,2,0,3,6,0,1,1,0,14,0,0,0,0,0,0,0
28,Barking,544405,184343,51.53952125,0.08083161,4,IG11 8TU,3,0,7,0,0,0,1,1,0,0,6,7,0,1,7,57,0,46,0,3,1,0,43,0,0,10,2,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
29,Barking Riverside,546824,182141,51.51911216,0.114769483,4,IG11 0BF,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,16,0,34,0,1,0,1,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Barkingside,544788,189510,51.58585076,0.08847664,4,IG6 1NB,0,0,0,0,0,0,0,7,0,0,10,6,0,1,15,9,1,35,0,1,0,0,28,0,0,2,3,0,0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Barnehurst,550206,176193,51.46478055,0.160948024,6,DA7 6HQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,47,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Barnes,522209,175705,51.46712738,-0.242033059,3,SW13 0LW,0,0,0,1,0,0,0,0,0,0,6,3,0,1,0,54,0,48,0,0,0,0,46,0,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
33,Barnes Bridge,521478,176255,51.47222764,-0.252362613,3,SW13 0NR,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,52,0,44,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
34,Barons Court,524133,178322,51.49022833,-0.213430142,2,W14 9DP,0,0,9,1,0,0,4,10,0,1,41,29,3,12,21,414,8,98,0,1,4,0,70,0,0,16,5,0,0,1,1,4,2,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0
35,Battersea Park,528703,176999,51.47731808,-0.14812376,2,SW8 4NB,0,1,1,0,1,0,1,5,0,0,22,19,1,8,11,63,1,41,0,3,1,1,39,0,0,15,4,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0
36,Battersea Power Station,529122,177252,51.47949634,-0.142001351,1,SW11 8AL,0,1,1,0,2,0,1,5,0,0,23,26,2,10,21,134,2,60,0,4,4,1,51,0,0,21,6,0,0,2,2,5,2,1,1,0,4,1,0,0,0,0,4,2,0,0,0,0,0,0
37,Bayswater,525845,180799,51.51211098,-0.187901572,1,W2 4QH,0,0,7,0,0,0,3,39,2,0,117,69,9,4,38,279,11,103,0,2,7,0,70,0,0,35,9,1,0,5,0,67,1,5,1,0,1,2,0,0,2,0,10,0,0,1,0,0,0,0
