ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
0,Abbey Road,539081,183352,51.531952,0.003723371,3,E15 3NB,1,0,3,0,0,1,1,4,0,0,11,11,0,1,5,87,6,67,0,1,7,0,35,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,3,0,0,0,0,0,0,0,POINT (539081 183352),194.22871287128712
8,Aldgate,533629,181246,51.51434226,-0.075626912,1,EC3N 1AH,2,1,31,2,4,4,12,11,1,0,192,144,64,60,114,311,38,217,0,5,7,2,113,0,0,34,5,0,4,5,0,41,0,1,2,0,12,2,0,0,2,0,24,0,0,0,0,0,0,0,POINT (533629 181246),195.11851851851839
9,Aldgate East,533809,181333,51.51508151,-0.073001462,1,E1 7PT,2,0,24,2,3,4,9,12,1,0,185,136,61,55,111,314,15,200,0,5,7,1,104,0,0,33,5,0,3,5,0,40,0,1,2,0,13,2,0,0,2,0,22,0,0,0,0,0,0,0,POINT (533809 181333),193.5585106382978
11,All Saints,538012,180933,51.51047691,-0.012624885,2,E14 0EH,1,0,0,1,0,3,4,5,0,0,54,40,11,6,73,189,8,163,0,6,1,0,83,0,0,32,7,0,1,5,2,21,1,1,2,0,0,3,0,0,3,0,9,1,0,0,0,0,0,0,POINT (538012 180933),205.380909090909
16,Angel,531497,183263,51.53296785,-0.105581448,1,N1 8XB,0,2,5,1,0,1,3,10,0,0,105,52,14,22,38,354,1,160,0,2,3,0,98,0,0,29,5,0,0,4,4,36,1,16,2,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,POINT (531497 183263),197.11542553191492
18,Archway,529356,186827,51.56549032,-0.135121576,"2,3",N19 5RQ,0,0,1,0,0,0,3,6,0,0,14,11,1,6,10,208,5,125,0,1,0,0,76,0,0,16,4,0,0,2,0,1,1,1,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,POINT (529356 186827),155.74825581395342
21,Arsenal,531429,186107,51.55854121,-0.105499933,2,N5 1LP,0,0,1,0,0,1,3,8,0,0,55,64,6,14,47,315,5,100,0,3,1,0,57,0,0,46,6,0,1,7,10,22,6,7,2,0,2,5,0,0,0,0,5,0,0,0,0,0,1,0,POINT (531429 186107),173.49664804469268
23,Baker Street,527965,182078,51.52312937,-0.156904193,1,NW1 5LA,4,0,7,2,0,1,4,49,0,0,111,57,4,11,40,253,10,117,0,1,40,0,67,0,0,21,3,0,1,8,3,80,7,9,2,1,0,1,0,0,1,0,7,0,0,0,0,0,0,0,POINT (527965 182078),216.29492753623185
27,Barbican,532079,181859,51.52021513,-0.097721578,1,EC1A 4JA,0,3,86,4,2,5,16,3,1,0,126,84,37,32,66,536,40,229,0,8,10,0,129,0,0,19,8,0,1,3,1,14,3,7,2,0,3,6,0,1,1,0,14,0,0,0,0,0,0,0,POINT (532079 181859),213.64766355140185
34,Barons Court,524133,178322,51.49022833,-0.213430142,2,W14 9DP,0,0,9,1,0,0,4,10,0,1,41,29,3,12,21,414,8,98,0,1,4,0,70,0,0,16,5,0,0,1,1,4,2,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,POINT (524133 178322),220.44285714285712
