LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,Latitude,Longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry
CSHCY038,2373,CSHCY,Cycle Superhighway cycle surveys,537780,177684,Creek Road,Greenwich,Inner,51.48133771,-0.017233246,0,0,2,0,0,0,4,11,0,0,37,41,8,15,15,123,2,107,0,2,1,2,54,7,0,19,2,0,0,4,1,10,0,2,0,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0,POINT (537780 177684)
CSHCY063,2647,CSHCY,Cycle Superhighway cycle surveys,527095,170910,High Street Colliers Wood,Merton,Inner,51.42295968,-0.173450686,0,0,0,1,0,0,6,8,2,0,78,23,9,10,16,92,3,74,0,0,3,0,56,0,0,30,3,0,3,3,4,13,2,0,2,0,1,0,0,0,2,0,6,1,1,0,0,0,0,0,POINT (527095 170910)
CSHCY098,633,CSHCY,Cycle Superhighway cycle surveys,521446,180893,Western Avenue (Savoy Circus),Ealing,Inner,51.51391754,-0.251228695,0,0,0,0,0,0,0,1,0,0,10,3,0,0,4,58,0,62,0,0,0,0,60,0,0,8,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,POINT (521446 180893)
INNCY002,2062,INNCY,Inner area cycle surveys,535642,186677,Lea Bridge Road,Waltham Forest,Inner,51.56266688,-0.044544143,0,0,0,0,0,0,0,0,1,0,1,6,1,0,1,100,0,54,0,0,0,0,46,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,POINT (535642 186677)
INNCY027,595,INNCY,Inner area cycle surveys,523536,171974,Parkside High Street,Merton,Inner,51.43330824,-0.22424039,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,3,0,22,0,1,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (523536 171974)
INNCY039,667,INNCY,Inner area cycle surveys,525784,169914,Morden Road,Merton,Inner,51.41430069,-0.192649067,0,0,1,0,0,0,2,3,0,0,12,11,0,8,4,90,1,46,0,1,0,0,46,0,2,9,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,POINT (525784 169914)
INNCY040,314,INNCY,Inner area cycle surveys,525517,172111,Durnsford Road,Merton,Inner,51.43410451,-0.195708914,0,0,0,0,0,0,1,3,0,0,9,11,2,4,12,69,1,30,0,1,1,0,30,0,0,7,1,0,0,3,0,0,1,3,0,0,1,2,0,0,0,0,3,1,0,1,0,0,0,0,POINT (525517 172111)
INNCY048,2195,INNCY,Inner area cycle surveys,520631,180048,The Vale,Ealing,Inner,51.5064977,-0.26325669,0,0,0,0,0,0,3,9,0,0,26,23,0,12,22,147,0,51,0,1,0,0,50,0,0,23,4,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,6,0,3,0,POINT (520631 180048)
INNCY104,1035,INNCY,Inner area cycle surveys,522552,176230,Rocks Lane,Richmond upon Thames,Inner,51.47177158,-0.236915721,0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,43,0,40,0,0,0,0,38,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,POINT (522552 176230)
INNCY108,854,INNCY,Inner area cycle surveys,526332,170127,Merton High Street,Merton,Inner,51.41609321,-0.184697386,0,0,1,0,0,0,2,2,0,0,17,11,0,7,4,89,2,45,0,0,2,0,44,0,1,15,2,0,2,0,0,3,0,1,1,0,1,0,0,0,2,0,3,0,1,0,0,0,1,0,POINT (526332 170127)
INNCY194,259,INNCY,Inner area cycle surveys,523687,182957,Mortimer Road,Brent,Inner,51.53198118,-0.218226303,0,0,1,0,0,0,1,2,0,0,10,16,1,0,5,135,1,61,0,0,0,0,49,0,0,14,1,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,POINT (523687 182957)
INNCY207,326,INNCY,Inner area cycle surveys,520998,180414,East Acton Lane,Ealing,Inner,51.50970866,-0.25784586,0,0,0,0,0,0,1,9,0,0,24,20,0,6,19,129,0,68,0,0,0,0,68,0,0,23,4,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,POINT (520998 180414)
INNCY228,246,INNCY,Inner area cycle surveys,524306,183873,Salusbury Road,Brent,Inner,51.54007748,-0.208983892,0,0,1,0,0,0,1,4,0,0,8,9,1,0,3,140,1,62,0,0,3,0,50,0,0,6,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,POINT (524306 183873)
INNCY247,113,INNCY,Inner area cycle surveys,534931,170798,Lawrie Park Road,Bromley,Inner,51.42014369,-0.06085968,0,0,0,0,0,0,1,7,1,0,9,17,1,2,11,61,0,62,0,0,1,0,62,0,0,10,3,0,0,0,2,1,1,1,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,POINT (534931 170798)
INNCY250,222,INNCY,Inner area cycle surveys,525952,171102,Queens Road,Merton,Inner,51.4249401,-0.1898128,0,0,0,0,0,0,0,0,0,0,1,5,0,2,4,57,0,42,0,0,2,0,40,0,0,6,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,POINT (525952 171102)
INNCY262,106,INNCY,Inner area cycle surveys,523362,182732,Wakeman Road,Brent,Inner,51.53003012,-0.222988065,0,0,1,0,0,0,0,2,0,0,10,15,1,0,9,104,1,73,0,0,0,0,59,0,0,14,1,0,0,1,2,0,0,1,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,POINT (523362 182732)
INNCY267,50,INNCY,Inner area cycle surveys,525008,182937,Malvern Road,Brent,Inner,51.53151079,-0.199198908,1,0,3,0,0,0,3,13,0,0,20,23,1,1,14,183,2,94,0,0,3,0,71,0,0,29,3,0,0,2,0,2,1,2,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,POINT (525008 182937)
INNCY268,131,INNCY,Inner area cycle surveys,520965,181134,The Approach,Ealing,Inner,51.51618657,-0.258074333,0,0,0,0,0,0,0,2,0,0,3,7,0,2,7,74,2,73,0,0,0,0,67,0,0,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,POINT (520965 181134)
INNCY294,65,INNCY,Inner area cycle surveys,534728,171084,Crystal Palace Park (Sydenham),Bromley,Inner,51.42276206,-0.063668734,0,0,0,0,0,0,1,6,1,0,8,13,1,4,4,53,0,68,0,0,0,0,62,0,0,12,2,0,0,1,2,0,0,1,1,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,POINT (534728 171084)
INNCY305,302,INNCY,Inner area cycle surveys,525476,172823,Ravensbury Road,Merton,Inner,51.4405124,-0.196046347,0,0,0,0,0,0,1,11,0,0,11,14,2,8,13,87,1,33,0,2,1,0,33,0,0,10,1,0,0,3,1,2,2,3,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,POINT (525476 172823)
INNCY309,110,INNCY,Inner area cycle surveys,525512,170414,Montague Road,Merton,Inner,51.41885447,-0.196381409,0,0,2,0,0,0,2,3,0,0,7,19,1,10,14,130,1,61,0,2,0,0,61,0,3,10,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,POINT (525512 170414)
