LocationID,LineCount,Entries,Exits,Stop Id,Stop Name,Easting,Northing,Location,Site Name,Heading,Status,longitude,latitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
3006,3,206,0,10364,LEOMINSTER WALK,526186,167528,"LEOMINSTER WALK, 44 M N OF. 2 M N OF P/W 191/193.",ST HELIER AVENUE,188.0,A,-0.187719391,51.3927682,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,21,0,63,0,0,0,0,62,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (526186 167528),63.82469834806138
3007,3,3308,0,2304,ST HELIER AVENUE / MIDDLETON ROAD,526130,167276,"CROXDEN WALK, 19 M S OF. 20 M S OF  &  OPP MARHAM GARDENS. O/S P/W 236/238.",ST HELIER AVENUE,8.0,A,-0.188613293,51.39051588,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11,28,0,55,0,0,0,0,54,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (526130 167276),66.02118988554456
3008,3,561,0,19891,ST HELIER AVENUE / MIDDLETON ROAD,526147,167258,"MARHAM GARDENS, 40 M S OF.  O/S N FLANK WALL OF 235.",ST HELIER AVENUE,188.0,A,-0.188375485,51.39035034,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11,28,0,55,0,0,0,0,54,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (526147 167258),65.87471820083607
3009,2,909,0,2303,DORE GARDENS,526075,166889,"DORE GARDENS, 40 M S OF. O/S P/W 316/318.",ST HELIER AVENUE,8.0,A,-0.189540628,51.38705007,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,22,0,53,0,0,0,0,52,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (526075 166889),61.816654920938014
30099,2,211,0,2302,OLD COULSDON / TUDOR ROSE,531109,158150,"PLACEHOUSE LANE, 20 M N OF  &  OPP. CANONS HILL, 35 M N OF. OPP 10A.",COULSDON ROAD,111.0,A,-0.120453345,51.30737446,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,8,0,52,0,0,0,0,48,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (531109 158150),21.020649608652846
3010,2,109,0,10365,NETLEY GARDENS,526108,166972,"NETLEY GARDENS, 45 M N OF. O/S P/W 295/297.",ST HELIER AVENUE,188.0,A,-0.189037185,51.38778868,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,22,0,53,0,0,0,0,52,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (526108 166972),63.30881643887716
3017,1,1397,0,2300,OSTERLEY STATION <>,514563,177036,"THORNBURY ROAD, 320 M W OF. OPP OSTERLY LUL STN.",GREAT WEST ROAD,253.0,A,-0.351625436,51.48068807,0,0,0,0,0,0,0,1,0,1,4,4,0,4,0,37,3,49,0,0,1,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,POINT (514563 177036),47.322283748566115
30312,3,7128,0,10366,UXBRIDGE HIGH STREET,505401,184343,"HAREFIELD ROAD, 20 M S OF. O/S 63. OPP MACDONALDS.",HIGH STREET,338.0,A,-0.481328518,51.54814508,0,0,4,0,0,0,0,2,0,0,7,7,0,7,9,20,0,48,2,1,10,0,36,0,0,3,2,0,2,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,POINT (505401 184343),36.93665381779398
3033,5,5282,0,2296,SECOND AVENUE,521651,180102,"SECOND AVENUE, 34 M W OF. 43 M E OF THIRD AVENUE.",THE VALE,88.0,A,-0.248548562,51.50676457,1,0,3,0,0,0,1,8,1,0,22,11,0,1,10,152,0,66,0,0,0,0,66,0,0,16,5,0,0,4,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,POINT (521651 180102),112.02790842007478
3034,3,6728,0,13100,THIRD AVENUE,521632,180084,"COWLEY ROAD, 15 M E OF. 20 M W OF  &  OPP THIRD AVENUE. O/S THE VALE NEIGHBOURHOOD CENTRE.",THE VALE,273.0,A,-0.248828394,51.50660689,1,0,3,0,0,0,1,8,1,0,21,11,0,1,10,151,0,65,0,0,0,0,65,0,0,16,5,0,0,4,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,POINT (521632 180084),111.4788657505407
