ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
2,Acton Central,520613,180299,51.50875735,-0.263430195,2,W3 6BH,0,0,0,0,0,0,3,9,0,0,25,23,0,11,21,149,0,55,0,0,0,0,54,0,0,23,3,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,3,0,POINT (520613 180299),105.16295869194059
4,Acton Town,519457,179639,51.50307099,-0.280302697,3,W3 8HN,0,0,0,0,0,0,5,6,0,0,17,19,3,10,19,112,0,49,0,0,2,0,48,0,0,17,4,0,0,2,0,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,4,0,2,0,POINT (519457 179639),67.52541708968273
12,Alperton,518025,183849,51.54120879,-0.299515753,4,HA0 4LL,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,39,1,32,0,0,0,0,32,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (518025 183849),73.25242594125268
13,Amersham,496454,198181,51.67412833,-0.606513768,9,HP6 5AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (496454 198181),
15,Anerley,534656,169942,51.41251661,-0.0651371,4,SE20 8PY,0,0,0,0,0,0,1,1,1,0,3,11,0,0,9,52,0,65,0,0,1,0,65,0,0,5,3,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,POINT (534656 169942),73.86281645060747
20,Arnos Grove,529271,192471,51.61622992,-0.134270218,4,N11 1AN,0,0,0,0,0,0,0,1,0,0,0,4,0,1,5,19,0,57,0,1,0,0,57,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (529271 192471),56.79615295417914
28,Barking,544405,184343,51.53952125,0.08083161,4,IG11 8TU,3,0,7,0,0,0,1,1,0,0,6,7,0,1,7,57,0,46,0,3,1,0,43,0,0,10,2,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,POINT (544405 184343),102.50774297815227
30,Barkingside,544788,189510,51.58585076,0.08847664,4,IG6 1NB,0,0,0,0,0,0,0,7,0,0,10,6,0,1,15,9,1,35,0,1,0,0,28,0,0,2,3,0,0,2,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POINT (544788 189510),40.28385786692914
43,Becontree,547598,184442,51.53958562,0.126880293,5,RM9 4TP,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,15,1,28,0,0,0,0,25,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,POINT (547598 184442),68.39169382367433
61,Blackhorse Road,535914,189256,51.58577656,-0.039625711,3,E17 6JJ,0,0,0,0,0,0,0,3,0,0,7,7,3,2,4,101,0,54,0,0,1,0,54,3,0,9,1,0,0,3,1,3,0,3,1,0,0,2,0,0,1,0,3,0,0,0,0,0,6,0,POINT (535914 189256),75.17874162102706
