LocationID,office,sustenance,transport,retail,leisure,residence
Abbey Road,-0.265655962,-0.766145484,-0.470481474,-0.762464021,-0.030620198,-0.174931006
Aldgate,1.666079557,2.288056992,0.963900031,0.41766199,0.713407633,-0.174931006
Aldgate East,1.313419264,2.137862903,0.581647775,0.30819082,0.715644008,-0.174931006
All Saints,0.079995346,0.082960139,0.112765842,0.328268235,0.166774266,-0.174931006
Angel,0.070143927,0.441199757,0.087483725,0.597214466,-0.16053452,-0.174931006
Archway,-0.359567118,-0.53380014,-0.221473685,-0.234442463,-0.202660596,-0.174931006
Arsenal,-0.26716065,0.226339213,-0.191967059,1.434832953,-0.03710407,0.296711393
Baker Street,0.741238407,0.152305471,0.434973502,0.883742023,-0.07022202,-0.174931006
Barbican,1.977609101,1.28473415,1.166727956,0.358973491,0.564021948,-0.174931006
Barons Court,0.542447146,-0.037304521,-0.08132344,-0.317026739,-0.271470238,-0.174931006
Battersea Park,-0.189579573,-0.604375928,-0.468489786,-0.561166268,-0.006672995,-0.174931006
Bayswater,0.375996489,0.18164271,-0.041339738,0.599225505,-0.03606948,0.250218793
Beckton,-0.500345522,-0.866657067,-0.695939422,-0.682768317,-0.244030352,-0.174931006
Beckton Park,-0.500345522,-0.835252652,-0.631842787,-0.767321699,-0.196804125,-0.174931006
Belsize Park,-0.424636805,-0.617069192,-0.3721458,-0.615062279,-0.27332537,-0.174931006
Bermondsey,-0.361273453,-0.313900007,-0.219663375,-0.255549534,0.188268177,-0.174931006
Blackwall,-0.040258109,0.017993983,-0.157928086,0.228273562,0.08915421,-0.174931006
Bond Street,0.984897976,1.390004216,0.561333405,1.802674896,0.155826614,-0.174931006
Borough,0.061910484,0.930830124,0.794689492,0.440000848,1.112957335,-0.174931006
Bounds Green,-0.40974461,-0.772660639,-0.598166716,-0.360159121,-0.268654909,1.10051839
Bow Church,-0.180541311,-0.654731521,-0.408145504,-0.458338855,0.373520876,-0.174931006
Bow Road,-0.237999925,-0.644121707,-0.192572936,-0.381936424,-0.024075277,-0.174931006
Brockley,-0.500345522,-0.77518417,-0.512513246,-0.732549635,-0.382405956,0.810867023
Bromley-by-Bow,-0.288258452,-0.738182951,-0.493753813,-0.530452366,0.659856929,-0.174931006
Bruce Grove,-0.336538658,-0.563353309,-0.399307556,-0.323436957,-0.062491089,-0.174931006
Caledonian Road,-0.439719952,-0.184020031,-0.28930643,-0.091733378,-0.204108539,-0.174931006
Cambridge Heath,-0.269685943,-0.169577457,-0.218316542,-0.055504412,-0.023225617,-0.174931006
Camden Road,-0.421943481,-0.133207271,0.299873899,-0.354089474,-0.342135012,0.675368591
Camden Town,-0.371912481,-0.117101414,0.24260599,-0.310259839,-0.342135012,0.675368591
Canada Water,-0.382507051,-0.56008306,-0.279572123,-0.579773231,0.259721381,-0.174931006
Canning Town,-0.311088469,-0.537197,-0.295477048,-0.142869217,0.629902398,-0.174931006
Canonbury,-0.482187149,-0.341125817,-0.199760466,-0.271333027,-0.374383973,-0.174931006
Chalk Farm,-0.314362137,-0.188439287,0.067048844,-0.366191768,-0.193850182,0.675368591
Chancery Lane,0.940410969,1.564595534,0.97431369,0.186994561,-0.045261137,-0.174931006
Clapham Common,-0.270144146,0.152900497,-0.369172468,-0.418656376,0.10423511,0.810867023
Clapham High Street,-0.152091754,0.315955903,-0.28899656,-0.124169926,0.091301079,-0.174931006
Clapham Junction,-0.033740994,0.029992205,-0.068976927,0.543052013,-0.030233919,0.296711393
Clapham North,-0.16117094,0.346106523,-0.218683347,-0.149267945,0.091301079,-0.174931006
Clapham South,-0.397399247,-0.603699488,-0.613400078,-0.480237177,-0.327785149,0.810867023
Clapton,-0.500345522,-0.702473028,-0.356206588,-0.618020898,-0.313628425,-0.174931006
Covent Garden,0.520041117,2.93326586,1.562268569,1.579709023,0.258424834,0.250218793
Crouch Hill,-0.251866556,-0.475531285,-0.315117329,-0.102229108,-0.212918953,0.296711393
Custom House,-0.255207884,-0.665539827,-0.597035553,-0.715280144,-0.032725324,-0.174931006
Cyprus,-0.491266336,-0.858038705,-0.60793961,-0.662375958,-0.219175972,-0.174931006
Dalston Junction,-0.456509433,-0.111400289,0.076869889,-0.472069545,-0.22389488,-0.174931006
Dalston Kingsland,-0.486822218,-0.065587736,0.045067911,-0.33687415,-0.294908785,-0.174931006
Denmark Hill,-0.176727718,-0.519535206,-0.338674251,-0.411493768,-0.152131294,-0.174931006
Devons Road,-0.366950665,-0.707466668,-0.260315708,-0.46927529,-0.283583727,-0.174931006
East Acton,-0.500345522,-0.891124653,-0.670300005,-0.841289666,-0.475442576,0.810867023
East Ham,-0.259160808,-0.545650169,-0.580411862,-0.106693028,-0.475442576,-0.174931006
East India,-0.326171615,-0.418312876,-0.213652194,-0.377299077,-0.1291061,-0.174931006
East Putney,-0.473107963,-0.767387678,-0.30492275,-0.745622347,0.0356748,-0.174931006
Elverson Road,-0.430640765,-0.517274596,0.835191809,-0.455707063,-0.28396497,-0.174931006
Embankment,0.199690438,1.922051546,1.818793645,1.04042448,0.142770208,0.250218793
Euston Square,0.11474835,1.026501247,0.794139437,0.090349484,0.139289768,-0.174931006
Farringdon,1.331346749,1.20238402,0.919462869,-0.01917889,0.187537802,-0.174931006
Finchley Road,-0.414188728,-0.612670448,-0.359318206,-0.079896404,0.010028816,-0.174931006
Finsbury Park,-0.123143343,0.020072063,-0.161197226,1.02031319,-0.140017805,0.296711393
Forest Gate,-0.391340524,-0.797733221,-0.596563906,-0.637995806,-0.41503616,-0.174931006
Forest Hill,-0.509424708,-0.832239863,-0.577381338,-0.784163373,0.022461656,-0.174931006
Fulham Broadway,-0.412482393,-0.207457643,-0.125880473,0.394901989,0.044497153,-0.174931006
Gallions Reach,-0.482187149,-0.88929036,-0.669831441,-0.770446067,-0.266402198,-0.174931006
Gloucester Road,-0.048518904,0.369719829,0.014245152,0.909520393,-0.253952383,-0.174931006
Goldhawk Road,0.939799415,0.205908956,0.039041468,1.093997003,-0.221322179,1.23999619
Goodge Street,0.674513343,2.169659656,1.125142503,0.948290757,0.055551307,-0.174931006
Gospel Oak,-0.076341944,-0.465272739,-0.386552163,-0.351371775,-0.170411635,0.296711393
Great Portland Street,0.568465508,0.831500799,0.435012204,0.749144694,-0.049598802,-0.174931006
Green Park,0.874213564,1.418824087,0.587460399,0.991512025,-0.027567117,0.250218793
Hackney Central,-0.148532887,-0.205350902,0.128118206,-0.424582311,-0.025084584,-0.174931006
Hackney Downs,-0.316783868,-0.229265531,0.072796249,-0.301797228,-0.327538989,-0.174931006
Hackney Wick,0.067235814,-0.587977077,-0.343301269,-0.622087388,0.218674789,-0.174931006
Haggerston,-0.133871127,-0.193930396,-0.108131396,-0.147791054,0.008584046,-0.174931006
Hampstead,-0.491266336,-0.783277721,-0.608357317,-0.67380489,-0.392664314,-0.174931006
Hampstead Heath,-0.491266336,-0.704888246,-0.567273613,-0.736849693,-0.253189897,-0.174931006
Harringay Green Lanes,-0.345852863,-0.618668464,-0.420692617,-0.17131047,-0.081367383,-0.174931006
Heron Quays,0.592800937,0.157794807,0.199166865,-0.005175556,0.266766168,-0.174931006
High Street Kensington,-0.112264159,0.025105386,-0.188283903,0.333099608,-0.314358799,-0.174931006
Highgate,-0.338266089,-0.83631289,-0.614999842,-0.570546261,-0.19677585,-0.174931006
Holborn,0.607399064,2.384325086,1.034355868,0.796326654,0.163972381,-0.174931006
Holland Park,-0.063788692,-0.185156479,-0.119603559,0.442816404,0.393331967,-0.174931006
Holloway Road,-0.409407167,-0.068085319,-0.323769322,0.249086545,-0.111071919,-0.174931006
Homerton,-0.252359057,-0.567816902,-0.21183887,-0.730580337,0.033799497,-0.174931006
Honor Oak Park,-0.298874118,-0.685335988,-0.581360107,-0.66560624,-0.42821635,-0.174931006
Hoxton,0.564325677,0.370895984,0.053333134,0.140856746,0.020697535,-0.174931006
Hyde Park Corner,-0.116899619,-0.012619539,0.1430296,-0.181157284,-0.079574143,-0.174931006
Imperial Wharf,-0.424827756,-0.451606958,0.051512952,-0.04531609,-0.362270484,-0.174931006
Island Gardens,-0.139841094,-0.431168064,-0.338828347,-0.270118335,-0.250985634,-0.174931006
