GraphSAGE,GCN,GAT,RGCN,HGT
0.108666668,0.116666667,0.111833331,0.117666669,0.12033333
0.095999998,0.1015,0.087666667,0.102666666,0.10066667
0.089000002,0.086666667,0.079166668,0.078666667,0.07533333
0.081833333,0.0825,0.079833334,0.076666667,0.07066667
0.079833334,0.084166666,0.075166667,0.071833335,0.0675
0.078333333,0.080333334,0.065000001,0.066833333,0.06433333
0.071166666,0.0785,0.0685,0.063333335,0.05933333
0.070333332,0.073000002,0.060000001,0.062333334,0.0563333
0.071166666,0.071500001,0.057166667,0.060000001,0.056
0.066500001,0.071500001,0.060666667,0.061000001,0.055
