percentage,GraphSAGE,GCN,GAT,RGCN,HGT
0.1,0.112666668,0.111833331,0.111666668,0.115333334,
0.2,0.097333334,0.097833334,0.094000001,0.097,
0.3,0.088833335,0.093166668,0.085999999,0.086666667,
0.4,0.084500002,0.087666666,0.087166668,0.074166665,
0.5,0.081166666,0.086333334,0.078166666,0.071333333,
0.6,0.078,0.086166665,0.078333334,0.068333334,
0.7,0.076833333,0.083833334,0.080666666,0.065666667,
0.8,0.076333334,0.081333333,0.0735,0.064,
0.9,0.074333332,0.081833334,0.123333335,0.063166667,
1,0.076666666,0.081666667,0.078666667,0.062666666,
