,office,sustenance,transport,retail,leisure,residence
0,0.032443233,-0.014921665,-0.058309287,0.01187551,-0.16299313,0.039968908
1,0.0027446747,-0.031701207,0.052874148,-0.0035199225,0.032141566,-0.046279967
2,-0.21618742,-0.14090532,-0.12846196,-0.06047964,0.06129825,0.10721822
3,0.08021909,-0.02865994,-0.08561623,-0.016027063,-0.1735335,-0.003693819
4,-0.026735544,-0.10323703,-0.11157602,0.065656036,-0.05139503,0.013648152
5,0.1180886,-0.00022661686,0.031811714,-0.0010155737,-0.13964593,-0.08768508
6,0.07723141,0.038025483,0.051533043,0.06346908,-0.20444468,-0.019277275
7,0.036506087,-0.013479054,-0.13407326,0.0694654,-0.0017310977,0.07545374
8,0.01085335,0.040236354,-0.09322232,0.021299005,0.104008496,0.058248058
9,0.030001782,0.008593231,-0.08320463,0.007597387,-0.05698371,0.08807203
10,0.05772981,-0.08645809,-0.017290235,0.022897363,-0.065577656,0.07061697
11,0.04703656,0.016149879,-0.05763507,-0.008711517,0.14251944,0.09901221
12,0.020565748,0.0013488531,-0.06455642,0.007414341,0.02535224,0.02077654
13,0.036958024,-0.032648623,-0.10841566,-0.038264602,-0.090756655,0.0789707
14,0.044716626,0.024141446,0.08433151,0.052432388,-0.027185917,0.07251361
15,0.03443923,-0.013774246,-0.048431575,0.024309233,-0.115624666,0.069767445
16,0.12939624,0.026197135,-0.061810136,0.025021791,0.012800306,0.052876964
17,0.069535404,0.09311703,0.017259777,0.12226316,-0.0035538077,0.018012434
18,0.04437548,-0.006734669,-0.06704682,-0.015548617,0.021487504,0.050959736
19,-0.015643299,0.07395691,0.099948406,0.10905731,0.09125577,0.12544093
20,-0.0023314655,-0.018123537,-0.10931414,0.06397605,0.079896495,0.13796881
21,-0.0065696537,-0.005213797,-0.11675894,-0.045737207,-0.032335997,0.10981104
22,0.08137916,0.023547143,-0.06327337,0.0446133,-0.07628316,0.052229047
23,0.052881353,0.0062196553,-0.0786075,-0.01822123,-0.08883351,0.05221224
24,0.041447476,0.018961847,0.06568402,-0.012935519,-0.23607165,-0.0012278557
25,0.064142965,0.06702751,-0.0038861036,0.012910336,-0.07556641,0.04300171
26,0.0017050356,-0.06960264,-0.10464108,-0.0138166845,-0.073239446,0.06369874
27,0.1198549,-0.0699248,-0.060013235,-0.062279195,-0.20489705,-0.09655598
28,0.03105849,0.041882098,-0.040476203,0.13198054,0.05709061,0.035072707
29,-0.070709884,-0.091461,-0.10080582,-0.0036671162,0.12074193,0.10286413
30,-0.017546415,-0.020709157,-0.04969597,0.040174097,-0.030950308,0.024952494
31,-0.038425922,-0.10006052,-0.061358213,0.017114967,-0.20862085,0.04499057
32,0.028669365,-0.051149607,-0.08588931,-0.013214648,0.07383168,0.009110749
33,0.036282003,-0.014027268,0.05031678,-0.023143291,-0.18684983,-0.031389594
34,0.051130712,-0.11708224,-0.07328737,-0.04123637,-0.05248165,-0.00061020255
35,0.037310705,-0.034870923,-0.0068205595,-0.01482299,-0.19051766,0.04770398
36,0.015380472,0.0035620928,-0.06316972,0.013173997,-0.20392525,-0.029351294
37,-0.099553555,-0.12529463,-0.122540236,-0.024839252,-0.072850764,0.05402717
38,-0.068501174,-0.009538412,-0.06563532,-0.0031915605,-0.07550752,-0.01520374
39,-0.0007055551,-0.08658117,-0.077775836,-0.032355905,-0.17890012,0.01682961
40,-0.089446485,-0.038556576,-0.12314689,-0.03744684,-0.099939734,-0.04633203
41,-0.04235044,-0.12040627,-0.034591734,-0.035461158,-0.025810152,0.014313072
42,-0.044484913,-0.07703465,-0.082618356,-0.056830317,-0.026751608,0.012337238
43,-0.041202188,-0.034881413,-0.029672384,-0.029885978,0.042274803,0.034246683
44,-0.03019467,-0.014499843,-0.08524448,0.08318356,0.006849587,0.04953395
45,-0.013094336,-0.08190188,-0.034499288,0.008990943,-0.030168712,0.041849315
46,0.06977868,-0.009502351,-0.0074633956,0.009597212,-0.0297485,0.024748653
47,-0.14842397,-0.14964521,-0.11089456,-0.06275973,-0.1701574,0.075145304
48,-0.084062636,-0.05302018,-0.06385332,0.04550594,-0.11090404,0.020035625
49,-0.05875233,-0.0362435,0.0022839904,0.095559835,0.014323294,-0.034455657
50,0.042658806,-0.063369274,-0.017149568,-0.0063458085,0.101046264,-0.09417221
51,-0.09766734,0.03840816,-0.011975288,0.04400918,-0.034375012,-0.029703677
52,0.049283534,-0.01371336,-0.021854877,-0.017449439,-0.030588418,0.002912432
53,-0.13785297,-0.115844965,0.047471106,0.032735407,-0.038978875,0.016122192
54,0.057269454,-0.080310166,-0.015917301,0.015568674,0.05363056,-0.051149517
55,-0.076271564,-0.046755314,-0.009722173,0.077582896,-0.024101377,0.0053610206
56,0.022933453,-0.0807243,0.064172626,0.02063036,-0.077150494,-0.033925086
57,0.040471375,0.008591831,0.0011906028,0.102562875,0.008046538,0.042933702
58,0.04575795,-0.03479874,-0.04521531,0.064852715,-0.019399762,-0.053662717
59,0.017565906,0.026406229,0.04564643,-0.029521644,0.06843865,-0.026893288
60,-0.01170814,-0.027196407,-0.00742507,0.030371964,0.028429836,-0.019693822
61,-0.06346983,-0.06279105,0.0030680299,-0.075613916,0.006028861,-0.03126836
62,0.046860546,0.15221205,0.012811124,0.010748684,0.04104963,-0.08781019
63,0.099621445,0.09414399,0.07873833,0.057366848,-0.014676899,-0.029669821
64,-0.06311089,-0.076764405,-0.07951599,-0.024847776,0.04174885,-0.0739789
65,-0.1211932,-0.0694682,-0.06396878,-0.015119284,-0.012287378,0.11037733
66,-0.036301166,-0.029159367,-0.0748989,0.0940727,-0.16284339,-0.0354653
67,-0.06277603,-0.01211077,-0.0350343,-0.024885237,-0.053446054,0.06562883
68,-0.12417799,-0.16029745,-0.16020635,-0.12501836,-0.07357329,0.12187356
69,0.06267345,-0.02513057,0.009562731,0.06599617,0.033104986,0.0072021484
70,0.00097358227,-0.008445263,-0.035439253,0.07879263,-0.038544208,-0.027975023
71,0.004456252,-0.061109513,-0.04353404,-0.0005401075,-0.0059525967,0.02129364
72,-0.055520833,0.01906836,0.050835907,-0.0018125176,0.03656116,0.009815812
73,-0.012281835,0.014019877,-0.06613612,0.0185678,0.04303971,0.108869314
74,-0.096993685,-0.012333304,-0.03356898,-0.01224947,0.041031748,0.057198673
75,-0.016611904,-0.023028731,-0.02355063,0.020850152,0.037706286,0.08698523
76,0.006410077,-0.01378417,-0.040265083,-0.020296246,-0.11065078,0.095213726
77,0.04258111,0.024724633,-0.023244679,-0.03597623,-0.12224722,-0.028662145
78,0.050840855,-0.08419213,-0.0640133,-0.0069496334,-0.14722693,-0.0043064356
79,-0.032653548,-0.11854091,-0.08897269,-0.10146564,-0.16775966,0.019529164
80,0.08934267,-0.031236619,-0.033418894,0.0066545308,-0.14868963,-0.096686006
81,0.11118689,-0.010449499,-0.0675382,-0.06063679,-0.15591961,-0.018374562
82,0.028991088,0.023144156,0.008950919,0.044156432,-0.009650469,-0.048172116
83,-0.1856814,-0.09782803,-0.11701602,0.05561441,-0.13062987,0.1524058
84,0.13358444,-0.049287498,0.0036295652,0.017591536,-0.11214501,-0.018362895
85,-0.10614389,-0.052006632,-0.06792092,-0.014708728,-0.1704939,-0.061485976
86,0.07859063,0.0041520298,0.095103204,0.02469924,-0.011595011,-0.08829439
87,-0.06295034,0.030294627,-0.05358219,0.042788953,-0.13984993,0.043070674
88,-0.029839694,0.0029067397,0.00579232,0.07714009,-0.13751012,0.035826266
89,-0.06517023,-0.021715522,-0.03261125,0.07250452,-0.07630831,0.06216173
90,0.013960242,0.004289627,0.006887436,0.022265702,0.02972269,0.007143855
91,0.009394586,0.0009305477,-0.03312546,-0.008066028,-0.018121123,0.030942604
92,0.011314005,-0.048880607,-0.08129293,0.0622164,0.04900822,-0.06920028
93,-0.009449869,-0.07655984,-0.036109895,0.0129698515,0.014147341,0.038686216
94,-2.0548701e-05,-0.011491895,0.0044187903,0.038508892,-0.0021125674,0.090477675
95,0.07726945,-0.011546344,-0.09332371,-0.005362034,-0.13952935,-0.013437331
96,0.0067783594,0.06464362,0.08481175,0.056785494,0.03417921,-0.09241226
97,0.018124402,0.014524937,0.0062245727,0.025387347,-0.15152094,-0.046791345
98,-0.0010202229,-0.022166133,-0.123964965,0.003530264,0.03402476,0.010348916
99,0.0051208436,-0.0030687451,-0.0733493,-0.026453793,0.04124683,-0.035105973
100,0.024952084,-0.072464556,-0.020848453,0.009301186,0.00086300075,-0.0029637218
101,-0.058440685,-0.070194244,-0.023102999,-0.048867285,0.030361086,-0.019817144
102,-0.024858534,0.010081455,-0.026394546,0.0666118,0.07330729,0.14218721
103,0.027123153,-0.056413352,-0.06712669,0.03448835,-0.054081917,0.0792979
104,-0.014362633,-0.060390055,0.035680592,0.038021564,0.0934878,-0.06587362
105,0.03052634,0.025620371,0.047139585,0.08098793,0.032396883,0.033681273
106,-0.010544628,-0.0255965,-0.09365064,-0.02241981,0.13173284,-0.032598615
107,-0.007566154,-0.0031548142,-0.06008011,0.020990878,-0.10271931,-0.048898086
108,-0.043329358,0.0093717575,-0.005084753,0.015938938,-0.055150777,0.056449115
109,-0.023323327,0.0007661879,-0.06521329,0.05989492,0.043711916,-0.03588116
110,0.029692516,-0.01039654,-0.01730138,0.01782766,0.038509175,0.028438866
111,-0.052573115,-0.028009772,-0.021533549,-0.013736665,0.0016002655,0.015976667
112,-0.05777839,0.014531136,-0.026599705,-0.012670219,-0.11249682,0.0032749176
113,0.010249466,-0.08960563,0.013784826,0.026732653,0.01960373,-0.0036144853
114,-0.02464664,-0.06476718,-0.10542548,-0.0037427545,-0.025960445,0.03896901
115,0.0050919354,-0.026165068,0.0490821,0.065736234,-0.009962738,-0.0057740808
116,0.023439512,0.014297038,-0.01293993,0.027230948,0.039803535,-0.016108155
117,-0.051334515,-0.023306578,-0.08688891,0.100794286,-0.023892313,0.018611372
118,-0.12199181,-0.03878641,-0.009193182,0.055406988,-0.07558048,0.06413051
119,-0.10801083,0.022104204,-0.037163556,0.030814871,0.097798765,0.1054717
120,0.04379332,0.03939134,0.035453647,0.054109275,-0.013787359,-0.021342993
121,-0.07299584,-0.02128613,-0.060815215,0.009194255,0.023909867,-0.05592212
122,-0.085929036,0.035897255,-0.0064449906,0.045152992,0.057637036,0.06636476
123,0.06692791,0.035615444,0.009413123,0.015221894,-0.104785085,-0.048920065
124,-0.13451093,-0.08094409,-0.059879184,-0.026132822,0.062307477,0.027090847
125,0.07397324,-0.01784423,0.08250922,0.0403015,-0.115231514,0.006695956
126,-0.041843116,0.07276946,-0.05181384,0.038780987,-0.023671329,-0.02330628
127,-0.14668271,-0.12264925,-0.108327806,-0.18595028,-0.096078426,0.08270118
128,-0.026776463,-0.047849208,-0.07756761,0.013089329,0.06816515,0.14112836
129,-0.090431035,-0.00054067373,-0.022144973,0.051342666,-0.09990966,0.03999628
130,0.005576849,0.0052633286,0.022208273,-0.03338301,-0.020743906,-0.05234544
131,-0.018747687,-0.058489323,-0.051205277,0.006589055,0.04778789,0.05514336
132,-0.06824356,-0.061061054,-0.04018581,0.020330459,-0.11429927,-0.03329155
133,0.041499145,-0.009279966,-0.0032950342,-0.018114418,-0.036856055,-0.046133757
134,0.06084708,0.019923374,-0.024525046,0.070968345,-0.10119718,0.012830853
135,-0.06511575,0.033627152,0.038211286,0.09816092,0.026403338,0.11017691
136,-0.0055733025,-0.022607535,-0.03482765,-0.013121128,0.02653128,0.12473656
137,0.03851375,0.025358677,0.016424716,0.036093503,-0.002199486,0.007869124
138,-0.12560639,-0.020201832,-0.020047724,-0.09196174,-0.0078021586,0.049370155
139,-0.22693615,-0.11125383,-0.09153682,-0.09183815,0.03011714,-0.05769071
140,-0.14680198,-0.15412521,-0.08848506,-0.06698972,-0.03332004,0.06256296
141,-0.03841716,-0.008042067,0.0024837852,-0.04793191,0.07471639,-0.07498321
142,-0.021315277,-0.013909578,-0.05434674,0.03005743,-0.036572784,0.008931875
143,-0.035570443,-0.050667048,0.005128026,-0.034086466,0.04720226,0.021378502
144,-0.016417414,-0.031405866,0.03282225,0.11127326,0.07222,0.008715451
145,0.029003471,-0.073213965,-0.16743612,-0.056909293,-0.09182459,0.045226663
146,-0.036524594,-0.031072587,-0.09846151,-0.01993385,-0.22200143,0.031219661
147,0.09222835,0.0531272,-0.06339562,0.038560778,-0.05448246,0.029073626
148,0.06913051,-0.030881107,-0.056693316,-0.049376488,-0.31497872,-0.09975925
149,-0.03764186,-0.13422424,-0.10799259,-0.1520918,-0.17143643,0.0027942657
150,-0.012944758,-0.011699289,-0.081688106,-0.0806092,-0.12089586,0.038990736
151,-0.08425343,-0.12773362,-0.094272375,-0.07384837,-0.0606606,0.07692979
152,0.0022158623,0.056390524,0.03097725,-0.097210675,-0.13367963,-0.48712882
153,-0.048735857,-0.06990874,-0.060630262,0.010413021,-0.046409726,0.11365019
154,-0.073224545,-0.02876079,-0.048371613,-0.015802413,0.0010371804,-0.0021314323
155,0.016284108,0.014658511,0.00270468,0.11251354,0.024629861,-0.028446436
156,-0.02892235,-0.022601485,-0.056013763,0.07002637,0.055712968,-0.084623635
157,-0.045717657,0.117212415,0.050861716,0.07344192,0.04825586,0.016133457
158,0.09269038,0.026489407,-0.21039987,0.07877284,0.00451833,0.03298241
159,0.0008546561,0.0068846047,0.018033028,0.05252096,-0.0324322,0.026768714
160,0.17014265,-0.0046342015,0.106250525,0.10928899,0.04445523,-0.05477324
161,0.03968978,-0.08467752,-0.04425767,-0.008131236,-0.05922419,-0.026380897
162,0.08295718,-0.10398036,-0.068858385,-0.025398225,-0.01453352,-0.029175341
163,0.009682387,-0.059473097,-0.063152194,-0.021354422,0.027242512,0.015962154
164,0.033073813,0.029700607,-0.06461394,0.027068615,-0.025988817,0.04530421
165,0.08772832,0.018458158,-0.04981011,-0.040118724,-0.104775906,-0.025927544
166,0.056640923,0.051931977,0.010618985,0.025018215,-0.08449286,-0.008052528
167,-0.04461932,-0.03723091,-0.045760214,-0.0033165514,0.015543222,0.014283463
168,0.07166751,-0.08744091,-0.06842893,-0.047518075,-0.10639614,0.064587176
169,-0.07147542,-0.04726416,-0.036396205,-0.03327912,-0.0716652,0.18135363
170,-0.027148575,-0.02199158,0.018328667,0.061542004,-0.09563908,0.16018201
171,0.07404558,-0.0013609529,-0.0038268566,-0.04585874,-0.0819591,0.16318412
172,-0.015052289,0.011400461,0.03886038,0.015707493,0.030975744,0.06549617
173,0.0013240874,0.026150376,-0.06122023,0.066230446,0.084047824,0.013445079
174,-0.108285606,-0.024531722,-0.020168662,0.10737732,-0.06623006,0.05932033
175,0.029267073,-0.026278406,-0.03827876,0.0362764,-0.0532912,-0.054908574
176,-0.080492646,-0.08179054,-0.061908305,0.011344999,-0.030595064,0.0621199
177,-0.033644497,-0.053808153,-0.102522016,0.0034609437,0.028421521,0.033160344
178,0.07840821,0.012565196,0.023893416,0.1610027,0.097014084,-0.07262111
179,0.07596254,0.046406478,0.080908865,0.05046028,-0.016789645,-0.0060375333
180,0.06882253,0.029810935,0.004361689,0.035711646,0.06243676,0.036164045
181,0.014604777,-0.09229547,-0.014786661,-0.038040936,0.0465675,-0.021045
182,-0.01742214,-0.11509746,-0.06978613,-0.03932318,0.011063576,0.04943177
183,0.046298683,0.057495117,0.003701806,0.08885181,0.0092924535,-0.020481735
184,0.040101334,0.014230728,-0.006807208,0.026713848,-0.0070926547,0.016042113
185,-0.012002617,-0.024057716,-0.013256133,0.008978069,-0.0072158277,-0.012257338
186,-0.0105706155,-0.021463096,0.0312365,-0.06544906,0.05488205,0.0532009
187,-0.010003924,0.0058630705,-0.053750932,0.099358946,0.032497495,0.071766585
188,0.14931992,-0.045039773,-0.031418085,-0.045328766,0.0049659014,0.018276304
189,0.06534767,-0.0305987,-0.020245492,-0.08708683,-0.3422485,0.04576999
190,0.041766763,0.0467965,0.054816008,0.057492852,-0.04613906,-0.02780971
191,0.04348258,-0.038928032,-0.030955076,0.008828387,-0.087890446,0.041535556
192,0.006048493,0.033680767,-0.04964596,0.051875383,0.059315205,0.10965291
193,-0.11472216,-0.053475097,-0.001303792,-0.05231902,-0.006569043,-0.03648027
194,0.09880802,0.007887632,-0.022626638,0.013435721,-0.16854912,-0.052396595
195,0.02279976,-0.10210407,-0.07064086,0.0017098188,-0.11889508,0.056789935
196,0.033250898,-0.030065179,-0.067219436,0.057458818,-0.015426576,-0.004331529
197,0.009010136,-0.035019696,-0.044181645,0.04756546,-0.028122604,-0.033023715
198,0.02661103,0.007825106,0.06311202,-0.031769127,-0.09854627,-0.037008047
199,-0.014410913,-0.012330294,0.08306742,-0.0032119155,-0.00039297342,0.08270486
200,0.04296142,0.03129238,0.05736947,0.0133033395,0.07948542,0.09209646
201,0.060957156,0.008637231,-0.006868005,0.0053579956,0.05805713,0.037801504
202,0.017482743,-0.002023533,-0.032329634,0.045959026,0.0048275143,0.03757906
203,0.003739857,-0.018077165,0.0189275,-0.012473702,-0.044858098,0.06234306
204,0.050414056,-0.03940326,-0.049840212,-0.12065223,-0.01322706,-0.011443257
205,0.0062474282,-0.019643307,0.020436317,-0.02592668,0.05377189,0.0061563253
206,-0.058570493,0.0059765726,0.012165189,0.06409776,0.02210264,0.009567916
207,-0.012867689,-0.00996232,-0.046457708,-0.0008316636,-0.05185339,0.060316265
208,-0.011110678,0.030598775,-0.018118322,0.04466951,0.042473093,0.037905812
209,-0.03102886,0.049561165,0.014371946,0.035829164,0.13581792,0.034570754
210,-0.045142643,-0.02301091,-0.024471134,-0.030429035,-0.045906067,-0.009646356
211,-0.056272566,0.0130995065,0.017990738,0.044977173,0.0671027,-0.017947793
212,0.124486804,0.024492979,0.09417862,0.07673022,-0.02409929,-0.05334276
213,-0.071980335,0.020004407,-0.094038025,0.03481999,-0.031673998,0.14674957
214,0.014308244,0.04462965,0.018619925,0.031068593,-0.08005816,0.081095636
215,0.017837062,0.016124487,0.041053057,0.07517126,0.040091485,0.08361712
216,0.0018372536,0.002779156,-0.036873758,0.015710175,0.0018135905,0.06210971
217,0.06046936,-0.0055303574,-0.057264447,-0.00977385,-0.07351437,0.030799687
218,0.015078247,0.046496563,-0.0473257,0.0074425563,-0.012506768,0.058939755
219,0.048904628,0.043542817,0.04674302,0.056975335,0.007269323,0.0137988925
220,-0.037836775,-0.08816552,-0.041193396,-0.030975372,-0.053690493,0.10906768
221,0.056275994,0.0029668212,0.08266279,0.07439563,-0.030346483,-0.043575376
222,0.061938755,0.014056206,0.07462604,0.055900767,-0.05123362,0.022763014
223,0.01923045,-0.006740328,-0.024434537,0.0075677484,0.026365682,0.080896586
224,0.044856265,0.013796024,0.030263856,0.029772744,-0.028292894,0.018042177
225,-0.032513652,-0.032433763,-0.019437209,-0.028101623,-0.021040171,-0.028811812
226,0.043127105,-0.080954134,0.017918319,-0.020860106,0.0709907,0.08167398
227,0.013349123,-0.01853291,0.009308398,-0.055617712,-0.07495779,0.0037865639
228,-0.053482175,0.015858173,0.00022359192,-0.012374595,-8.633733e-05,0.01864189
229,-0.01546023,0.018776707,0.027364254,0.026196346,-0.032204717,0.08141482
230,-0.0265776,-0.00010851771,0.0124063045,0.057309672,-0.033525303,-0.011661053
231,-0.07113287,0.012830839,-0.0129850805,-0.025926888,-0.07971871,-0.011928022
232,0.011234127,0.004546359,-0.071027994,0.048040956,-0.01036185,-0.0006791353
233,0.021539263,-0.0060703605,-0.10202801,0.012156293,-0.17030868,0.029788554
234,0.068641394,0.09222397,0.046027392,0.08750665,-0.14934134,0.0065256953
235,0.035809785,-0.031518012,-0.10755414,0.01912269,-0.07077277,-0.033278108
236,0.0059171375,-0.04632304,0.02009882,-0.028640747,0.06387946,-0.008563459
237,0.025662245,-0.020949945,0.03871195,-0.005462408,0.019835696,0.016463041
238,0.0661757,-0.02098526,-0.034458682,0.02283962,-0.034439802,-0.026275814
239,0.09734817,-0.023425668,-0.14521796,0.09616446,0.048526824,0.09184897
240,0.07798111,0.07556262,-0.0367513,0.08046,0.05057683,0.07630271
241,0.111787766,0.054369003,-0.09451085,0.08053148,0.08107298,0.025111377
242,-0.02135101,-0.030865699,-0.009803638,-0.09253356,0.04969951,-0.004901409
243,-0.032231264,-0.013983794,0.031029977,0.05211647,0.050055742,-0.02438426
244,0.015143611,0.005167395,0.022180662,0.035321698,0.026183203,0.024641037
245,-0.005087603,-0.06974749,0.01046817,-0.040229782,-0.037775606,0.033187896
246,-0.029984564,-0.06998414,0.0021243244,0.012915641,-0.024922073,-0.053468823
247,-0.02540239,-0.021941915,0.028664082,-0.0035622418,-0.06453809,-0.05881071
248,0.0030519664,-0.006947398,-0.008518845,-0.012479395,-0.062863946,-0.009408653
249,0.039261773,-0.009813562,0.0039488375,0.010345593,0.023861945,-0.056616366
250,0.044912554,-0.0068911314,-0.0025137067,0.016833931,-0.08496815,-0.0053601265
251,0.0011871047,0.0046363547,-0.035419405,-0.03557317,-0.037683487,0.07409683
252,0.034811106,0.00716877,-0.05895379,-0.049735487,-0.071043104,0.0054590106
253,-0.008581363,-0.0020478815,-0.024732068,0.004290089,-0.03705454,-0.010945916
254,-0.023083217,0.001235269,0.05713422,0.024192452,0.05232277,0.10992122
255,-0.028191209,-0.010552064,-0.08058733,0.08247523,-0.009563655,0.07415491
256,0.12792249,0.08490474,0.15797713,0.04925713,0.029822707,-0.00024789572
257,0.07144062,-0.0067171305,0.032874167,-0.06968081,0.013383329,-0.05635366
258,0.034134243,0.03429061,0.059456736,0.0069407374,0.028414577,0.056169808
259,0.021836575,0.056624472,0.054920897,0.043617547,-0.038888097,0.07657719
260,0.005398866,0.055228643,0.052597374,0.023818552,-0.082921416,0.042746753
261,-0.08933069,-0.04317704,0.0065972805,-0.072983444,-0.040566474,0.0811708
262,0.002303362,0.005498141,0.038010687,0.0993399,-0.008638531,0.036048353
263,-0.1128661,-0.07431936,-0.040509373,0.034139484,-0.13331188,-0.006853342
264,0.042996705,0.033326477,0.045898914,0.109717965,0.025008678,0.03208694
265,0.009472996,-0.00534527,0.011748731,0.06912279,0.02565904,0.0937233
266,0.08930817,0.0046595335,0.011444673,0.10022812,-0.053012013,0.15703136
267,-0.05328989,-0.06004758,-0.024799466,-0.13870767,-0.062098354,-0.024655879
268,-0.0822013,-0.06073764,-0.05664447,-0.12464252,-0.009468585,0.10100442
269,-0.02237311,0.0009266734,-0.022473022,-0.015117049,0.04925984,0.052050352
270,0.036151618,0.04659465,0.0055361837,0.08737138,-0.008480042,0.14229542
271,-0.021824956,-0.00068975985,-0.011858135,0.03443481,0.033798546,-0.010425881
272,0.10133645,0.08518875,0.13689992,0.1381602,0.06372249,0.09918541
273,0.05274234,0.14771494,0.1601523,0.25954342,-0.02146843,0.26204267
274,0.0126233995,0.026653394,0.12071097,0.10934462,-0.056733847,0.13212384
275,0.007692322,-0.051115423,-0.07297066,0.0010695457,-0.0009823442,-0.03909923
276,0.007885084,-0.0047780275,-0.018800378,-0.08273533,0.016733557,-0.00119555
277,-0.0021230206,0.034990013,0.03656009,-0.031986088,0.038513586,-0.001306057
278,-0.03537106,-0.011570327,-0.021704182,0.013598844,-0.04165393,0.007818997
279,-0.009640418,0.048420742,0.013022244,0.12099683,-0.04673344,0.033301413
280,0.016079858,0.0063719004,0.031485453,-0.056327403,0.0003194362,-0.06804931
281,-0.008947138,0.030926071,-0.00092200935,0.08036643,0.060806602,0.072395384
282,-0.022298783,0.0031342506,-0.022188947,-0.0418469,0.06018365,0.005045116
283,-0.013492502,0.028710634,0.018052787,0.053976566,0.07743527,0.09220612
284,-0.026378825,-0.032115802,-0.05079636,-0.011875302,-0.018752709,0.079441965
285,0.04479205,-0.0028476268,0.024131566,-0.019708902,-0.004313946,0.042528927
286,0.0771406,-0.01199168,0.032780528,-0.053681344,0.13006091,0.035983413
287,-0.04257399,0.023276068,0.024852157,0.073613584,0.01886417,-0.053419173
288,0.009156439,-0.0038424581,-0.040686816,0.023962915,-0.13193014,0.06521553
289,-0.005917553,0.025325455,0.10316442,0.02087532,0.008266836,0.04839647
290,0.019784752,0.00254865,0.0141020045,-0.004589811,0.08108394,0.037243277
291,-0.022147495,-0.0643802,-0.06440413,-0.0057675093,-0.03733462,-0.03323114
292,0.015880253,0.024845108,0.08849317,-0.005410373,-0.084334165,-0.008770347
293,0.073337585,0.024142668,0.03941071,0.06752241,-0.035583362,0.03709811
294,0.044875357,-0.0030085891,0.021324933,-0.038765162,0.08308008,0.01397258
295,-0.050257076,0.0027606934,-0.09260513,-0.071031764,0.03528927,-0.042719185
296,0.029050365,-0.020695582,-0.04540366,0.03440672,-0.104843795,0.037395477
297,-0.0467235,0.014964104,-0.0076893866,-0.02515024,0.025052845,-0.024308085
298,0.03584043,0.0013968274,0.039081335,0.0032966584,-0.010376811,0.1307539
299,-0.0014453898,0.004386209,-0.007965773,-0.0041484274,0.027630366,0.09599495
300,0.014667973,0.02092181,0.015657753,0.06737976,-0.08719149,0.057224587
301,0.0122772725,0.030436743,0.025922641,0.006667938,-0.04557097,0.036901712
302,-0.010112854,-0.0008412376,0.016762048,-0.0041049533,0.0986348,-0.0062380135
303,0.021239001,0.022083133,0.061785832,0.0047341585,0.011382878,0.06418198
304,0.019789703,0.017482832,0.009780645,0.09675543,0.05671733,0.1113638
305,0.051589154,-0.06358913,0.06724677,-0.018097773,0.08066636,-0.12072384
306,-0.049005494,0.0033909678,-0.055626318,-0.07456912,-0.08375144,0.050475508
307,-0.0042988174,-0.003797099,-0.046431348,-0.09212378,0.03834197,0.035161674
308,-0.007813342,0.011135638,-0.011189476,-0.05998352,0.022904925,0.109526545
309,-0.049016297,-0.06300759,0.003643036,0.062221967,-0.006884113,0.07512903
310,0.026275955,-0.018374741,0.030549765,-0.015451899,0.08597622,0.09142173
311,0.014984728,0.042526297,0.032351322,0.10768032,-0.078626275,0.045208305
312,0.0075304816,-0.004970867,-0.0066247806,0.006505728,-0.13321666,0.040307045
313,0.02732101,-0.026787221,0.015512854,0.04114285,0.06709869,0.005660355
