,office,sustenance,transport,retail,leisure,residence
0,-0.0030903816,-0.022543103,-0.034433663,-0.004904449,0.035405874,-0.07120907
1,0.022043109,-0.00075900555,0.06061983,-0.018446952,0.025945187,-0.00946182
2,0.009582281,-0.049340367,0.02111882,-0.027808279,-0.0049717426,-0.014097825
3,0.059109792,-0.017617881,0.019244075,-0.058372915,0.049366713,-0.05307111
4,0.057340354,0.011538029,0.020276189,0.049814224,0.00013417006,0.005785316
5,0.019039422,0.0019545257,0.058395863,0.020280868,0.039682865,-0.0034847558
6,0.017437346,0.013880417,0.012979031,0.03686583,0.013954341,-0.02297026
7,0.016967237,0.018741727,0.0051932335,-0.04185164,-0.032159925,-0.04809378
8,-0.06455463,0.017983556,0.030461311,-0.015158832,-0.006753832,-0.0058136433
9,0.0201777,0.022378683,-0.011493027,0.052591294,-0.008034706,0.039671123
10,0.09685084,0.027647674,0.05033666,0.07035959,-0.031397313,0.043412134
11,0.05119829,0.05070457,-0.08402163,0.028000236,0.07485205,0.078646645
12,0.052797377,0.027604043,0.020624876,-0.014011383,-0.040908426,-0.08567254
13,0.10388224,0.0009228885,-0.027662873,-0.051178128,-0.1316022,-0.032685995
14,0.06826621,0.004756823,0.079180956,0.02110669,-0.024568856,-0.02537015
15,-0.009662539,0.001334399,-0.002258718,0.032389566,0.0791896,0.05934879
16,0.07111575,-0.0053519607,0.022715628,-0.07511145,-0.024671137,-0.010288164
17,0.016011536,-0.0096304715,0.044553995,-0.009930193,-0.03411594,-0.060088217
18,0.08633299,0.07334894,0.011035442,0.003569156,-0.064098924,-0.069601715
19,0.027459204,0.0051924586,0.021914423,-0.0101053715,0.029435173,0.04320377
20,-0.10969181,-0.07340357,-0.024834394,0.07776815,0.012605429,0.32338557
21,-0.053616285,0.017035306,0.09978938,-0.060625315,0.06399679,-0.030860752
22,0.06084079,0.08087215,0.07217878,0.042745084,0.056991756,0.029451191
23,-0.005603321,-0.011204809,0.027317226,-0.02061677,0.0352391,0.01191625
24,-0.005408913,0.021106452,0.13800424,-0.020544529,-0.05612868,0.013601363
25,0.09576877,0.033325195,-0.020600379,-0.019775957,0.03308475,0.024713904
26,0.030137092,-0.011934191,0.00432384,0.0008151829,0.004422009,-0.003533572
27,0.018730134,0.0024558604,0.006755531,-0.041475713,-0.051876068,-0.018288225
28,0.053799003,0.018344223,0.012417972,-0.016972393,-0.03275743,-0.06383497
29,-0.058387846,0.012625098,0.071962655,-0.0029978156,0.172627,0.08506216
30,0.0046292543,0.04437709,0.047312915,0.0076976717,0.019753575,-0.017581359
31,0.028659046,-0.0011668205,0.024680257,0.011879295,-0.026546896,0.04188904
32,-0.002822183,-0.00979498,-0.030625314,-0.024234623,0.14987075,-0.0065997243
33,0.001546815,0.0017539263,0.055463344,0.025377989,0.010110974,0.014039576
34,0.015590131,-0.019539148,-0.0071381927,-0.023670852,-0.00963527,0.011063188
35,0.01878503,-0.013923228,0.083593845,-0.005587578,-0.013008833,0.018853664
36,0.0009496361,-0.01845321,-0.0449425,0.017406553,0.003308177,0.030001402
37,0.097195566,0.043475866,-0.0061840415,-0.031236827,0.0378803,-0.023205578
38,-0.011264503,-0.020431757,0.021950126,-0.040519416,0.005164087,0.05664817
39,-0.008622825,-0.03902507,0.006652057,-0.018760353,-0.040606678,-0.01774025
40,-0.0071689487,0.026287884,0.006663382,-0.010986581,-0.030804485,0.031019062
41,0.07536787,0.025668621,0.04229343,0.0009701252,0.039761513,0.039846957
42,0.050693214,0.07079691,0.009566009,0.03770128,0.053173155,-0.023255289
43,0.08186078,0.024071008,0.022653937,-0.014794111,0.023022473,-0.05142671
44,-0.020673335,0.0069754124,0.002722025,0.014720529,-0.013237476,-0.0414387
45,0.035491347,0.051490963,0.055835128,0.048415482,0.041464955,0.0011442304
46,0.08897805,0.0021358132,0.00030517578,-0.013531536,-0.009126604,0.013732731
47,-0.07572472,-0.0103312135,0.023677528,-0.049967766,-0.036373913,-0.07183842
48,0.17034882,0.085161805,0.12788075,0.08248383,-0.024531364,-0.028501302
49,0.041173756,0.017391741,0.07996279,0.03331858,-0.04177475,-0.05631663
50,-0.012072951,0.007324815,-0.0015481114,-0.050817817,0.041382432,-0.0008994341
51,0.030712366,0.03756541,0.042158425,-0.040614963,0.0043355227,-0.024951011
52,0.024507433,-0.019937277,0.025200546,-0.07961911,0.011189163,-0.019055635
53,0.014896423,-0.03810805,0.113161206,-0.016155422,-0.081157774,-0.1133117
54,0.050317615,0.0058151484,0.06448716,-0.05272168,0.04808691,0.013390243
55,-0.01226607,-0.07603729,-0.07002282,0.034665167,-0.0048731863,-0.07926375
56,0.014176518,-0.02483368,0.0695523,-0.0372023,-0.13933524,0.12256521
57,0.010378361,-0.021379232,9.018183e-05,-0.03729379,0.012713343,0.039527714
58,-0.05238694,-0.06597531,0.00459373,-0.035381556,0.013243228,-0.03474334
59,-0.015737116,-0.03136486,0.02201128,-0.06308746,0.12120381,0.02845791
60,-0.008229971,-0.034585953,-0.054861546,-0.036809564,-0.017457813,-0.017573923
61,0.000377357,0.0011671185,0.008298337,-0.017978132,-0.0040382445,0.051801205
62,-0.021827996,0.024366051,-0.019772053,-0.008679986,-0.023882955,-0.011120558
63,0.061564833,0.016152203,0.03462839,-0.06965929,0.021822512,0.027547747
