Model,Land_type,RMSE,MAE,R2
GAT,office,0.054,0.039,0.904
GAT,sustenance,0.039,0.028,0.952
GAT,transport,0.054,0.039,0.927
GAT,retail,0.068,0.05,0.851
GAT,leisure,0.08,0.058,0.789
GAT,residence,0.074,0.054,0.847
GraphSage,office,0.058,0.043,0.887
GraphSage,sustenance,0.045,0.032,0.938
GraphSage,transport,0.059,0.043,0.912
GraphSage,retail,0.07,0.053,0.841
GraphSage,leisure,0.083,0.06,0.773
GraphSage,residence,0.078,0.058,0.831
GCN,office,0.06,0.043,0.881
GCN,sustenance,0.046,0.033,0.935
GCN,transport,0.063,0.046,0.9
GCN,retail,0.077,0.057,0.812
GCN,leisure,0.086,0.064,0.753
GCN,residence,0.083,0.062,0.809
NN,office,0.124,0.086,0.484
NN,sustenance,0.116,0.079,0.581
NN,transport,0.139,0.097,0.514
NN,retail,0.134,0.103,0.417
NN,leisure,0.141,0.106,0.342
NN,residence,0.158,0.123,0.31
RGCN,office,0.051,0.035,0.915
RGCN,sustenance,0.044,0.031,0.939
RGCN,transport,0.054,0.039,0.927
RGCN,retail,0.065,0.046,0.865
RGCN,leisure,0.069,0.051,0.844
RGCN,residence,0.07,0.051,0.866
